"pli0097_h","year","bildungsniveau","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Nie","1998","AkademikerIn","Westdeutschland","861","0.778327007030742","0.753746987713211","0.802907026348273"
"Nie","1998","AkademikerIn","Ostdeutschland","672","0.777980477386185","0.75026826801637","0.805692686756"
"Taeglich","1999","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1999","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1999","Hauptschule","Westdeutschland","","","",""
"Taeglich","1999","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1999","Realschule","Westdeutschland","","","",""
"Taeglich","1999","Realschule","Ostdeutschland","","","",""
"Taeglich","1999","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1999","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1999","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1999","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1999","(noch) kein Abschluss","Westdeutschland","4","","",""
"Min 1x pro Woche","1999","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Min 1x pro Woche","1999","Hauptschule","Westdeutschland","36","0.00748521197081989","0.00505141000214845","0.00991901393949132"
"Min 1x pro Woche","1999","Hauptschule","Ostdeutschland","8","","",""
"Min 1x pro Woche","1999","Realschule","Westdeutschland","16","","",""
"Min 1x pro Woche","1999","Realschule","Ostdeutschland","5","","",""
"Min 1x pro Woche","1999","(Fach-)Abitur","Westdeutschland","11","","",""
"Min 1x pro Woche","1999","(Fach-)Abitur","Ostdeutschland","1","","",""
"Min 1x pro Woche","1999","AkademikerIn","Westdeutschland","21","","",""
"Min 1x pro Woche","1999","AkademikerIn","Ostdeutschland","17","","",""
"Min 1x pro Monat","1999","(noch) kein Abschluss","Westdeutschland","3","","",""
"Min 1x pro Monat","1999","(noch) kein Abschluss","Ostdeutschland","2","","",""
"Min 1x pro Monat","1999","Hauptschule","Westdeutschland","61","0.0137714505069357","0.0104807123937554","0.017062188620116"
"Min 1x pro Monat","1999","Hauptschule","Ostdeutschland","12","","",""
"Min 1x pro Monat","1999","Realschule","Westdeutschland","31","0.012313359588443","0.00745339820612569","0.0171733209707603"
"Min 1x pro Monat","1999","Realschule","Ostdeutschland","21","","",""
"Min 1x pro Monat","1999","(Fach-)Abitur","Westdeutschland","15","","",""
"Min 1x pro Monat","1999","(Fach-)Abitur","Ostdeutschland","1","","",""
"Min 1x pro Monat","1999","AkademikerIn","Westdeutschland","40","0.0310732159443249","0.0207817947203663","0.0413646371682835"
"Min 1x pro Monat","1999","AkademikerIn","Ostdeutschland","34","0.0405467915494487","0.0272950347213907","0.0537985483775066"
"Seltener","1999","(noch) kein Abschluss","Westdeutschland","20","","",""
"Seltener","1999","(noch) kein Abschluss","Ostdeutschland","8","","",""
"Seltener","1999","Hauptschule","Westdeutschland","321","0.0654498989648791","0.0584664417325603","0.0724333561971979"
"Seltener","1999","Hauptschule","Ostdeutschland","46","0.0312767728818198","0.0211768956794037","0.0413766500842359"
"Seltener","1999","Realschule","Westdeutschland","162","0.0810933457503681","0.0690634114618843","0.093123280038852"
"Seltener","1999","Realschule","Ostdeutschland","76","0.0578668347607767","0.0455744120638598","0.0701592574576935"
"Seltener","1999","(Fach-)Abitur","Westdeutschland","76","0.0872940595120316","0.0692400744551392","0.105348044568924"
"Seltener","1999","(Fach-)Abitur","Ostdeutschland","18","","",""
"Seltener","1999","AkademikerIn","Westdeutschland","123","0.122546493641875","0.103097404202608","0.141995583081142"
"Seltener","1999","AkademikerIn","Ostdeutschland","106","0.11694004962559","0.095349681756551","0.13853041749463"
"Nie","1999","(noch) kein Abschluss","Westdeutschland","634","0.94773763187753","0.930771377803894","0.964703885951166"
"Nie","1999","(noch) kein Abschluss","Ostdeutschland","113","0.922211959293158","0.875069846810185","0.969354071776131"
"Nie","1999","Hauptschule","Westdeutschland","4400","0.913293438557365","0.90534748826804","0.921239388846691"
"Nie","1999","Hauptschule","Ostdeutschland","1075","0.95082389079748","0.938277107595671","0.96337067399929"
"Nie","1999","Realschule","Westdeutschland","1769","0.896911207373733","0.883510880279065","0.9103115344684"
"Nie","1999","Realschule","Ostdeutschland","1284","0.924192422194596","0.910257517984512","0.93812732640468"
"Nie","1999","(Fach-)Abitur","Westdeutschland","837","0.887027350314394","0.866779894596792","0.907274806031995"
"Nie","1999","(Fach-)Abitur","Ostdeutschland","169","0.893792502656632","0.849867365093442","0.937717640219823"
"Nie","1999","AkademikerIn","Westdeutschland","908","0.828022893515892","0.805641183586118","0.850404603445666"
"Nie","1999","AkademikerIn","Ostdeutschland","694","0.824234402544102","0.798661759469489","0.849807045618715"
"Taeglich","2000","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","2000","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","2000","Hauptschule","Westdeutschland","","","",""
"Taeglich","2000","Hauptschule","Ostdeutschland","","","",""
"Taeglich","2000","Realschule","Westdeutschland","","","",""
"Taeglich","2000","Realschule","Ostdeutschland","","","",""
"Taeglich","2000","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","2000","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","2000","AkademikerIn","Westdeutschland","","","",""
"Taeglich","2000","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","2000","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Woche","2000","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","2000","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Woche","2000","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","2000","Realschule","Westdeutschland","","","",""
"Min 1x pro Woche","2000","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","2000","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Woche","2000","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","2000","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Woche","2000","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","2000","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Monat","2000","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","2000","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Monat","2000","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","2000","Realschule","Westdeutschland","","","",""
"Min 1x pro Monat","2000","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","2000","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Monat","2000","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","2000","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Monat","2000","AkademikerIn","Ostdeutschland","","","",""
"Seltener","2000","(noch) kein Abschluss","Westdeutschland","","","",""
"Seltener","2000","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","2000","Hauptschule","Westdeutschland","","","",""
"Seltener","2000","Hauptschule","Ostdeutschland","","","",""
"Seltener","2000","Realschule","Westdeutschland","","","",""
"Seltener","2000","Realschule","Ostdeutschland","","","",""
"Seltener","2000","(Fach-)Abitur","Westdeutschland","","","",""
"Seltener","2000","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","2000","AkademikerIn","Westdeutschland","","","",""
"Seltener","2000","AkademikerIn","Ostdeutschland","","","",""
"Nie","2000","(noch) kein Abschluss","Westdeutschland","","","",""
"Nie","2000","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","2000","Hauptschule","Westdeutschland","","","",""
"Nie","2000","Hauptschule","Ostdeutschland","","","",""
"Nie","2000","Realschule","Westdeutschland","","","",""
"Nie","2000","Realschule","Ostdeutschland","","","",""
"Nie","2000","(Fach-)Abitur","Westdeutschland","","","",""
"Nie","2000","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","2000","AkademikerIn","Westdeutschland","","","",""
"Nie","2000","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","2001","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","2001","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","2001","Hauptschule","Westdeutschland","","","",""
"Taeglich","2001","Hauptschule","Ostdeutschland","","","",""
"Taeglich","2001","Realschule","Westdeutschland","","","",""
"Taeglich","2001","Realschule","Ostdeutschland","","","",""
"Taeglich","2001","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","2001","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","2001","AkademikerIn","Westdeutschland","","","",""
"Taeglich","2001","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","2001","(noch) kein Abschluss","Westdeutschland","3","","",""
"Min 1x pro Woche","2001","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Min 1x pro Woche","2001","Hauptschule","Westdeutschland","50","0.00634583211611925","0.00456884606764852","0.00812281816458997"
"Min 1x pro Woche","2001","Hauptschule","Ostdeutschland","5","","",""
"Min 1x pro Woche","2001","Realschule","Westdeutschland","39","0.0106006371407572","0.00728004437714423","0.0139212299043702"
"Min 1x pro Woche","2001","Realschule","Ostdeutschland","9","","",""
"Min 1x pro Woche","2001","(Fach-)Abitur","Westdeutschland","18","","",""
"Min 1x pro Woche","2001","(Fach-)Abitur","Ostdeutschland","2","","",""
"Min 1x pro Woche","2001","AkademikerIn","Westdeutschland","44","0.0167796314413577","0.0115188895793983","0.0220403733033171"
"Min 1x pro Woche","2001","AkademikerIn","Ostdeutschland","20","","",""
"Min 1x pro Monat","2001","(noch) kein Abschluss","Westdeutschland","8","","",""
"Min 1x pro Monat","2001","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","2001","Hauptschule","Westdeutschland","87","0.011629937373745","0.00923071457958907","0.0140291601679009"
"Min 1x pro Monat","2001","Hauptschule","Ostdeutschland","18","","",""
"Min 1x pro Monat","2001","Realschule","Westdeutschland","61","0.0173881140139647","0.0131499177363508","0.0216263102915786"
"Min 1x pro Monat","2001","Realschule","Ostdeutschland","28","","",""
"Min 1x pro Monat","2001","(Fach-)Abitur","Westdeutschland","31","0.015968425469959","0.0102624645764071","0.0216743863635108"
"Min 1x pro Monat","2001","(Fach-)Abitur","Ostdeutschland","7","","",""
"Min 1x pro Monat","2001","AkademikerIn","Westdeutschland","72","0.0309136409594447","0.0238246133243079","0.0380026685945816"
"Min 1x pro Monat","2001","AkademikerIn","Ostdeutschland","64","0.058539264137404","0.0453171544693758","0.0717613738054323"
"Seltener","2001","(noch) kein Abschluss","Westdeutschland","21","","",""
"Seltener","2001","(noch) kein Abschluss","Ostdeutschland","9","","",""
"Seltener","2001","Hauptschule","Westdeutschland","400","0.0533318821832522","0.0483036603359964","0.0583601040305079"
"Seltener","2001","Hauptschule","Ostdeutschland","52","0.0260388221260747","0.0181864470102142","0.0338911972419352"
"Seltener","2001","Realschule","Westdeutschland","261","0.0730246240067352","0.0645887014697934","0.081460546543677"
"Seltener","2001","Realschule","Ostdeutschland","95","0.0456040044053311","0.0365817791645348","0.0546262296461274"
"Seltener","2001","(Fach-)Abitur","Westdeutschland","147","0.0744800359413127","0.0625289860206772","0.0864310858619483"
"Seltener","2001","(Fach-)Abitur","Ostdeutschland","28","","",""
"Seltener","2001","AkademikerIn","Westdeutschland","233","0.0993179507218","0.0870681230699182","0.111567778373682"
"Seltener","2001","AkademikerIn","Ostdeutschland","138","0.109340672757451","0.0917645652457381","0.126916780269165"
"Nie","2001","(noch) kein Abschluss","Westdeutschland","660","0.952589900984015","0.936756162727689","0.96842363924034"
"Nie","2001","(noch) kein Abschluss","Ostdeutschland","161","0.937598644779","0.901344678025255","0.973852611532744"
"Nie","2001","Hauptschule","Westdeutschland","7134","0.928692348326884","0.922933626501315","0.934451070152452"
"Nie","2001","Hauptschule","Ostdeutschland","1505","0.959618596118641","0.949912164888321","0.969325027348962"
"Nie","2001","Realschule","Westdeutschland","3293","0.898986624838543","0.88921583041446","0.908757419262626"
"Nie","2001","Realschule","Ostdeutschland","1922","0.935736893960463","0.925132017730976","0.946341770189949"
"Nie","2001","(Fach-)Abitur","Westdeutschland","1658","0.900559377340971","0.886937677066726","0.914181077615216"
"Nie","2001","(Fach-)Abitur","Ostdeutschland","312","0.888926330321888","0.855959755804081","0.921892904839695"
"Nie","2001","AkademikerIn","Westdeutschland","1941","0.852988776877398","0.83848512878346","0.867492424971336"
"Nie","2001","AkademikerIn","Ostdeutschland","989","0.815449170000575","0.793600124538591","0.83729821546256"
"Taeglich","2002","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","2002","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","2002","Hauptschule","Westdeutschland","","","",""
"Taeglich","2002","Hauptschule","Ostdeutschland","","","",""
"Taeglich","2002","Realschule","Westdeutschland","","","",""
"Taeglich","2002","Realschule","Ostdeutschland","","","",""
"Taeglich","2002","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","2002","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","2002","AkademikerIn","Westdeutschland","","","",""
"Taeglich","2002","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","2002","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Woche","2002","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","2002","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Woche","2002","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","2002","Realschule","Westdeutschland","","","",""
"Min 1x pro Woche","2002","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","2002","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Woche","2002","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","2002","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Woche","2002","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","2002","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Monat","2002","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","2002","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Monat","2002","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","2002","Realschule","Westdeutschland","","","",""
"Min 1x pro Monat","2002","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","2002","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Monat","2002","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","2002","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Monat","2002","AkademikerIn","Ostdeutschland","","","",""
"Seltener","2002","(noch) kein Abschluss","Westdeutschland","","","",""
"Seltener","2002","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","2002","Hauptschule","Westdeutschland","","","",""
"Seltener","2002","Hauptschule","Ostdeutschland","","","",""
"Seltener","2002","Realschule","Westdeutschland","","","",""
"Seltener","2002","Realschule","Ostdeutschland","","","",""
"Seltener","2002","(Fach-)Abitur","Westdeutschland","","","",""
"Seltener","2002","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","2002","AkademikerIn","Westdeutschland","","","",""
"Seltener","2002","AkademikerIn","Ostdeutschland","","","",""
"Nie","2002","(noch) kein Abschluss","Westdeutschland","","","",""
"Nie","2002","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","2002","Hauptschule","Westdeutschland","","","",""
"Nie","2002","Hauptschule","Ostdeutschland","","","",""
"Nie","2002","Realschule","Westdeutschland","","","",""
"Nie","2002","Realschule","Ostdeutschland","","","",""
"Nie","2002","(Fach-)Abitur","Westdeutschland","","","",""
"Nie","2002","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","2002","AkademikerIn","Westdeutschland","","","",""
"Nie","2002","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","2003","(noch) kein Abschluss","Westdeutschland","1","","",""
"Taeglich","2003","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","2003","Hauptschule","Westdeutschland","5","","",""
"Taeglich","2003","Hauptschule","Ostdeutschland","","","",""
"Taeglich","2003","Realschule","Westdeutschland","5","","",""
"Taeglich","2003","Realschule","Ostdeutschland","1","","",""
"Taeglich","2003","(Fach-)Abitur","Westdeutschland","4","","",""
"Taeglich","2003","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","2003","AkademikerIn","Westdeutschland","21","","",""
"Taeglich","2003","AkademikerIn","Ostdeutschland","9","","",""
"Min 1x pro Woche","2003","(noch) kein Abschluss","Westdeutschland","4","","",""
"Min 1x pro Woche","2003","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","2003","Hauptschule","Westdeutschland","51","0.00640081975365534","0.00452739745468568","0.008274242052625"
"Min 1x pro Woche","2003","Hauptschule","Ostdeutschland","4","","",""
"Min 1x pro Woche","2003","Realschule","Westdeutschland","31","0.00616573455392565","0.00366497072777682","0.00866649838007448"
"Min 1x pro Woche","2003","Realschule","Ostdeutschland","7","","",""
"Min 1x pro Woche","2003","(Fach-)Abitur","Westdeutschland","22","","",""
"Min 1x pro Woche","2003","(Fach-)Abitur","Ostdeutschland","3","","",""
"Min 1x pro Woche","2003","AkademikerIn","Westdeutschland","54","0.0159467325210711","0.0114944261661642","0.0203990388759781"
"Min 1x pro Woche","2003","AkademikerIn","Ostdeutschland","30","0.0262261374628066","0.0174885255675058","0.0349637493581074"
"Min 1x pro Monat","2003","(noch) kein Abschluss","Westdeutschland","9","","",""
"Min 1x pro Monat","2003","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","2003","Hauptschule","Westdeutschland","103","0.0153642747220666","0.0124748851524645","0.0182536642916688"
"Min 1x pro Monat","2003","Hauptschule","Ostdeutschland","14","","",""
"Min 1x pro Monat","2003","Realschule","Westdeutschland","66","0.0160749283852518","0.0120572162150557","0.020092640555448"
"Min 1x pro Monat","2003","Realschule","Ostdeutschland","30","0.015227576087817","0.00984999766600262","0.0206051545096314"
"Min 1x pro Monat","2003","(Fach-)Abitur","Westdeutschland","37","0.0172020499673541","0.0115486662647016","0.0228554336700065"
"Min 1x pro Monat","2003","(Fach-)Abitur","Ostdeutschland","7","","",""
"Min 1x pro Monat","2003","AkademikerIn","Westdeutschland","115","0.0360660008027104","0.0294390686494771","0.0426929329559437"
"Min 1x pro Monat","2003","AkademikerIn","Ostdeutschland","63","0.0472750299455384","0.0356713375521665","0.0588787223389103"
"Seltener","2003","(noch) kein Abschluss","Westdeutschland","44","0.0563387721276152","0.0393185479066048","0.0733589963486256"
"Seltener","2003","(noch) kein Abschluss","Ostdeutschland","10","","",""
"Seltener","2003","Hauptschule","Westdeutschland","505","0.0739960465157729","0.0678467851440847","0.0801453078874611"
"Seltener","2003","Hauptschule","Ostdeutschland","50","0.0298279425530781","0.0210325396821087","0.0386233454240476"
"Seltener","2003","Realschule","Westdeutschland","378","0.108499602037453","0.0985639098827219","0.118435294192184"
"Seltener","2003","Realschule","Ostdeutschland","155","0.0745277753861599","0.0629947247834779","0.0860608259888419"
"Seltener","2003","(Fach-)Abitur","Westdeutschland","190","0.0923036944853651","0.0797183222482638","0.104889066722466"
"Seltener","2003","(Fach-)Abitur","Ostdeutschland","31","0.0789037166314931","0.051322316797552","0.106485116465434"
"Seltener","2003","AkademikerIn","Westdeutschland","425","0.135976868754351","0.12379440624087","0.148159331267833"
"Seltener","2003","AkademikerIn","Ostdeutschland","191","0.163584712311075","0.143360162392391","0.18380926222976"
"Nie","2003","(noch) kein Abschluss","Westdeutschland","647","0.922580812341134","0.902852949193839","0.942308675488429"
"Nie","2003","(noch) kein Abschluss","Ostdeutschland","174","0.937032149376191","0.901934675461703","0.972129623290679"
"Nie","2003","Hauptschule","Westdeutschland","6297","0.903692956569316","0.896762661145345","0.910623251993286"
"Nie","2003","Hauptschule","Ostdeutschland","1369","0.957282212592171","0.946826730159992","0.96773769502435"
"Nie","2003","Realschule","Westdeutschland","3284","0.868538652782142","0.857743795664619","0.879333509899664"
"Nie","2003","Realschule","Ostdeutschland","1799","0.907306997069244","0.894571848083403","0.920042146055084"
"Nie","2003","(Fach-)Abitur","Westdeutschland","1779","0.877120360149962","0.862846027932389","0.891394692367534"
"Nie","2003","(Fach-)Abitur","Ostdeutschland","326","0.903939221828394","0.873791276118907","0.934087167537882"
"Nie","2003","AkademikerIn","Westdeutschland","2426","0.808089446260763","0.794092959823159","0.822085932698367"
"Nie","2003","AkademikerIn","Ostdeutschland","992","0.757413750521","0.733977064067187","0.780850436974814"
"Taeglich","2004","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","2004","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","2004","Hauptschule","Westdeutschland","","","",""
"Taeglich","2004","Hauptschule","Ostdeutschland","","","",""
"Taeglich","2004","Realschule","Westdeutschland","","","",""
"Taeglich","2004","Realschule","Ostdeutschland","","","",""
"Taeglich","2004","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","2004","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","2004","AkademikerIn","Westdeutschland","","","",""
"Taeglich","2004","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","2004","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Woche","2004","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","2004","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Woche","2004","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","2004","Realschule","Westdeutschland","","","",""
"Min 1x pro Woche","2004","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","2004","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Woche","2004","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","2004","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Woche","2004","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","2004","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Monat","2004","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","2004","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Monat","2004","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","2004","Realschule","Westdeutschland","","","",""
"Min 1x pro Monat","2004","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","2004","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Monat","2004","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","2004","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Monat","2004","AkademikerIn","Ostdeutschland","","","",""
"Seltener","2004","(noch) kein Abschluss","Westdeutschland","","","",""
"Seltener","2004","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","2004","Hauptschule","Westdeutschland","","","",""
"Seltener","2004","Hauptschule","Ostdeutschland","","","",""
"Seltener","2004","Realschule","Westdeutschland","","","",""
"Seltener","2004","Realschule","Ostdeutschland","","","",""
"Seltener","2004","(Fach-)Abitur","Westdeutschland","","","",""
"Seltener","2004","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","2004","AkademikerIn","Westdeutschland","","","",""
"Seltener","2004","AkademikerIn","Ostdeutschland","","","",""
"Nie","2004","(noch) kein Abschluss","Westdeutschland","","","",""
"Nie","2004","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","2004","Hauptschule","Westdeutschland","","","",""
"Nie","2004","Hauptschule","Ostdeutschland","","","",""
"Nie","2004","Realschule","Westdeutschland","","","",""
"Nie","2004","Realschule","Ostdeutschland","","","",""
"Nie","2004","(Fach-)Abitur","Westdeutschland","","","",""
"Nie","2004","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","2004","AkademikerIn","Westdeutschland","","","",""
"Nie","2004","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","2005","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","2005","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","2005","Hauptschule","Westdeutschland","","","",""
"Taeglich","2005","Hauptschule","Ostdeutschland","","","",""
"Taeglich","2005","Realschule","Westdeutschland","","","",""
"Taeglich","2005","Realschule","Ostdeutschland","","","",""
"Taeglich","2005","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","2005","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","2005","AkademikerIn","Westdeutschland","","","",""
"Taeglich","2005","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","2005","(noch) kein Abschluss","Westdeutschland","6","","",""
"Min 1x pro Woche","2005","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","2005","Hauptschule","Westdeutschland","52","0.00785926636609996","0.00566567333632227","0.0100528593958776"
"Min 1x pro Woche","2005","Hauptschule","Ostdeutschland","5","","",""
"Min 1x pro Woche","2005","Realschule","Westdeutschland","39","0.00926883009533933","0.00609864290490187","0.0124390172857768"
"Min 1x pro Woche","2005","Realschule","Ostdeutschland","5","","",""
"Min 1x pro Woche","2005","(Fach-)Abitur","Westdeutschland","23","","",""
"Min 1x pro Woche","2005","(Fach-)Abitur","Ostdeutschland","3","","",""
"Min 1x pro Woche","2005","AkademikerIn","Westdeutschland","71","0.020297902424564","0.0151628315446325","0.0254329733044956"
"Min 1x pro Woche","2005","AkademikerIn","Ostdeutschland","26","","",""
"Min 1x pro Monat","2005","(noch) kein Abschluss","Westdeutschland","3","","",""
"Min 1x pro Monat","2005","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","2005","Hauptschule","Westdeutschland","95","0.015231010055092","0.0121886546417785","0.0182733654684055"
"Min 1x pro Monat","2005","Hauptschule","Ostdeutschland","11","","",""
"Min 1x pro Monat","2005","Realschule","Westdeutschland","55","0.0151421822914319","0.0111022365140808","0.0191821280687829"
"Min 1x pro Monat","2005","Realschule","Ostdeutschland","24","","",""
"Min 1x pro Monat","2005","(Fach-)Abitur","Westdeutschland","35","0.0214666572848083","0.0149325356524301","0.0280007789171864"
"Min 1x pro Monat","2005","(Fach-)Abitur","Ostdeutschland","6","","",""
"Min 1x pro Monat","2005","AkademikerIn","Westdeutschland","101","0.0337627479235021","0.0271856451960616","0.0403398506509426"
"Min 1x pro Monat","2005","AkademikerIn","Ostdeutschland","56","0.0480567119858801","0.0361615637704613","0.0599518602012989"
"Seltener","2005","(noch) kein Abschluss","Westdeutschland","30","0.0417665217017383","0.0272740528734142","0.0562589905300624"
"Seltener","2005","(noch) kein Abschluss","Ostdeutschland","9","","",""
"Seltener","2005","Hauptschule","Westdeutschland","377","0.0607711543714262","0.0548362617301141","0.0667060470127382"
"Seltener","2005","Hauptschule","Ostdeutschland","49","0.0291094326398101","0.0198925368879098","0.0383263283917104"
"Seltener","2005","Realschule","Westdeutschland","270","0.0789781363928212","0.0700557106229992","0.0879005621626431"
"Seltener","2005","Realschule","Ostdeutschland","112","0.0577928542159657","0.0471276912739664","0.068458017157965"
"Seltener","2005","(Fach-)Abitur","Westdeutschland","129","0.0694829340440195","0.0580194023835025","0.0809464657045365"
"Seltener","2005","(Fach-)Abitur","Ostdeutschland","28","","",""
"Seltener","2005","AkademikerIn","Westdeutschland","309","0.106162314284299","0.0949450135669607","0.117379615001637"
"Seltener","2005","AkademikerIn","Ostdeutschland","168","0.127187035872034","0.108657296522839","0.145716775221229"
"Nie","2005","(noch) kein Abschluss","Westdeutschland","693","0.945075770582051","0.928571062351942","0.961580478812161"
"Nie","2005","(noch) kein Abschluss","Ostdeutschland","155","0.962178288320951","0.932982209114456","0.991374367527445"
"Nie","2005","Hauptschule","Westdeutschland","5701","0.916138569207382","0.90925299551522","0.923024142899543"
