"pgcasmin","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"(1b) general elementary school","2011","16-34 Jahre alt","616","0.0754252098481368","0.0691421607895129","0.0817082589067607"
"(1b) general elementary school","2011","35-65 Jahre alt","936","0.0677870731617982","0.0639241860996168","0.0716499602239796"
"(1b) general elementary school","2011","66 und älter","782","0.171008629577394","0.160757224260189","0.1812600348946"
"(1c) basic vocational qualification","2011","16-34 Jahre alt","754","0.111569228259474","0.104078480482572","0.119059976036377"
"(1c) basic vocational qualification","2011","35-65 Jahre alt","3743","0.269561560034201","0.262742856635443","0.27638026343296"
"(1c) basic vocational qualification","2011","66 und älter","2211","0.436592720348894","0.42308914230442","0.450096298393368"
"(2b) intermediate general qualification","2011","16-34 Jahre alt","523","0.0847249746527558","0.0780994130966951","0.0913505362088165"
"(2b) intermediate general qualification","2011","35-65 Jahre alt","223","0.0117669689126313","0.0101098907462117","0.013424047079051"
"(2b) intermediate general qualification","2011","66 und älter","68","0.0133802298665872","0.0102519465338157","0.0165085131993587"
"(2a) intermediate vocational","2011","16-34 Jahre alt","1470","0.198325266288264","0.18883825790152","0.207812274675007"
"(2a) intermediate vocational","2011","35-65 Jahre alt","4994","0.294887215764066","0.287880116399463","0.30189431512867"
"(2a) intermediate vocational","2011","66 und älter","708","0.139769415120288","0.130328525927623","0.149210304312953"
"(2c_gen) general maturity certificate","2011","16-34 Jahre alt","788","0.150081490404643","0.141583947343773","0.158579033465514"
"(2c_gen) general maturity certificate","2011","35-65 Jahre alt","309","0.0202923891018866","0.0181257037825632","0.02245907442121"
"(2c_gen) general maturity certificate","2011","66 und älter","37","0.00753993674165328","0.00518467185387412","0.00989520162943244"
"(2c_voc) vocational maturity certificate","2011","16-34 Jahre alt","688","0.105649057295323","0.0983355119066182","0.112962602684027"
"(2c_voc) vocational maturity certificate","2011","35-65 Jahre alt","1634","0.0961910108001287","0.0916600888443602","0.100721932755897"
"(2c_voc) vocational maturity certificate","2011","66 und älter","202","0.0432117220568831","0.037675568895553","0.0487478752182132"
"(3a) lower tertiary education","2011","16-34 Jahre alt","296","0.0534827756407179","0.0481295889050991","0.0588359623763368"
"(3a) lower tertiary education","2011","35-65 Jahre alt","1495","0.0834525101790264","0.0792026152060539","0.0877024051519988"
"(3a) lower tertiary education","2011","66 und älter","454","0.0750954776041465","0.0679199352861941","0.082271019922099"
"(3b) higher tertiary education","2011","16-34 Jahre alt","627","0.1037271028749","0.0964726039730669","0.110981601776732"
"(3b) higher tertiary education","2011","35-65 Jahre alt","2709","0.140443173548374","0.135104066563917","0.145782280532831"
"(3b) higher tertiary education","2011","66 und älter","644","0.0948655201125556","0.0868872242518278","0.102843815973283"
"(0) in school","2012","16-34 Jahre alt","917","0.0986972666748016","0.091378132702228","0.106016400647375"
"(0) in school","2012","35-65 Jahre alt","","","",""
"(0) in school","2012","66 und älter","","","",""
"(1a) inadequately completed","2012","16-34 Jahre alt","126","0.0139388722550145","0.0110618877148271","0.016815856795202"
"(1a) inadequately completed","2012","35-65 Jahre alt","214","0.0146847325798097","0.0128236236545074","0.0165458415051121"
"(1a) inadequately completed","2012","66 und älter","79","0.0206391522362726","0.0167830640840188","0.0244952403885264"
"(1b) general elementary school","2012","16-34 Jahre alt","582","0.0826845039017894","0.0759261144012971","0.0894428934022817"
"(1b) general elementary school","2012","35-65 Jahre alt","918","0.0693760549743538","0.0654446926055299","0.0733074173431777"
"(1b) general elementary school","2012","66 und älter","749","0.16227101725308","0.152270973340892","0.172271061165268"
"(1c) basic vocational qualification","2012","16-34 Jahre alt","679","0.105213374720142","0.0976838596421729","0.112742889798112"
"(1c) basic vocational qualification","2012","35-65 Jahre alt","3635","0.267684600175047","0.260834263100131","0.274534937249964"
"(1c) basic vocational qualification","2012","66 und älter","2189","0.429493067930344","0.416067328949952","0.442918806910736"
"(2b) intermediate general qualification","2012","16-34 Jahre alt","515","0.0792500456347732","0.0726211313496077","0.0858789599199388"
"(2b) intermediate general qualification","2012","35-65 Jahre alt","229","0.0122314744942613","0.010530811884617","0.0139321371039055"
"(2b) intermediate general qualification","2012","66 und älter","75","0.0151568496177122","0.0118431154752284","0.018470583760196"
"(2a) intermediate vocational","2012","16-34 Jahre alt","1307","0.202264291178951","0.19240692443697","0.212121657920932"
"(2a) intermediate vocational","2012","35-65 Jahre alt","4956","0.290235847798684","0.283213477587092","0.297258218010275"
"(2a) intermediate vocational","2012","66 und älter","740","0.142971235037773","0.133477181181218","0.152465288894329"
"(2c_gen) general maturity certificate","2012","16-34 Jahre alt","769","0.143381981180475","0.134781699391804","0.151982262969145"
"(2c_gen) general maturity certificate","2012","35-65 Jahre alt","290","0.0206886092500277","0.0184863055104187","0.0228909129896367"
"(2c_gen) general maturity certificate","2012","66 und älter","40","0.00833050946293857","0.00586532788106917","0.010795691044808"
"(2c_voc) vocational maturity certificate","2012","16-34 Jahre alt","604","0.104126929272005","0.0966318442862027","0.111622014257807"
"(2c_voc) vocational maturity certificate","2012","35-65 Jahre alt","1676","0.0986588173490537","0.094044964656516","0.103272670041591"
"(2c_voc) vocational maturity certificate","2012","66 und älter","197","0.042935220517292","0.0374371896557258","0.0484332513788581"
"(3a) lower tertiary education","2012","16-34 Jahre alt","277","0.0557352545628549","0.0501055750475517","0.0613649340781582"
"(3a) lower tertiary education","2012","35-65 Jahre alt","1479","0.0840258694150891","0.0797334784086226","0.0883182604215556"
"(3a) lower tertiary education","2012","66 und älter","479","0.0786762544909567","0.0713739888477473","0.0859785201341662"
"(3b) higher tertiary education","2012","16-34 Jahre alt","603","0.114707480619193","0.106887403106586","0.122527558131799"
"(3b) higher tertiary education","2012","35-65 Jahre alt","2650","0.142413993963674","0.137006869821205","0.147821118106143"
"(3b) higher tertiary education","2012","66 und älter","674","0.0995266934536307","0.0914070891176871","0.107646297789574"
"(0) in school","2013","16-34 Jahre alt","1087","0.101730056593372","0.0950463072270837","0.10841380595966"
"(0) in school","2013","35-65 Jahre alt","","","",""
"(0) in school","2013","66 und älter","","","",""
"(1a) inadequately completed","2013","16-34 Jahre alt","185","0.0157655114115396","0.0130113118809082","0.0185197109421711"
"(1a) inadequately completed","2013","35-65 Jahre alt","410","0.0190088331868523","0.0169913293303131","0.0210263370433916"
"(1a) inadequately completed","2013","66 und älter","84","0.01868162479311","0.0149579540474971","0.0224052955387228"
"(1b) general elementary school","2013","16-34 Jahre alt","887","0.0826151564457319","0.0765282346228586","0.0887020782686052"
"(1b) general elementary school","2013","35-65 Jahre alt","1296","0.0692858392552388","0.0655340840203151","0.0730375944901625"
"(1b) general elementary school","2013","66 und älter","696","0.154708178051796","0.144762853642875","0.164653502460716"
"(1c) basic vocational qualification","2013","16-34 Jahre alt","797","0.0989528154100542","0.0923507484701614","0.105554882349947"
"(1c) basic vocational qualification","2013","35-65 Jahre alt","3788","0.253764455030279","0.247335247329101","0.260193662731457"
"(1c) basic vocational qualification","2013","66 und älter","2058","0.424926845056526","0.411331895002895","0.438521795110158"
"(2b) intermediate general qualification","2013","16-34 Jahre alt","714","0.084020621708663","0.0778868462670435","0.0901543971502826"
"(2b) intermediate general qualification","2013","35-65 Jahre alt","232","0.0125054397598961","0.0108636371731049","0.0141472423466872"
"(2b) intermediate general qualification","2013","66 und älter","71","0.016470036090901","0.0129697780835158","0.0199702940982863"
"(2a) intermediate vocational","2013","16-34 Jahre alt","1343","0.184134534603321","0.175564768314175","0.192704300892468"
"(2a) intermediate vocational","2013","35-65 Jahre alt","4773","0.291855280448935","0.285138689752512","0.298571871145357"
"(2a) intermediate vocational","2013","66 und älter","738","0.146713954431544","0.136983300712869","0.156444608150219"
"(2c_gen) general maturity certificate","2013","16-34 Jahre alt","1044","0.154946677841411","0.146946027876934","0.162947327805888"
"(2c_gen) general maturity certificate","2013","35-65 Jahre alt","528","0.0225238926075556","0.0203316990621354","0.0247160861529758"
"(2c_gen) general maturity certificate","2013","66 und älter","51","0.00975788171955274","0.00705449947836306","0.0124612639607424"
"(2c_voc) vocational maturity certificate","2013","16-34 Jahre alt","679","0.0991472477723304","0.0925394108667156","0.105755084677945"
"(2c_voc) vocational maturity certificate","2013","35-65 Jahre alt","1992","0.102770370227432","0.098284054237758","0.107256686217107"
"(2c_voc) vocational maturity certificate","2013","66 und älter","203","0.0429912264231301","0.0374128622686029","0.0485695905776574"
"(3a) lower tertiary education","2013","16-34 Jahre alt","286","0.0526515716333352","0.0477135542107268","0.0575895890559436"
"(3a) lower tertiary education","2013","35-65 Jahre alt","1440","0.0832150728366904","0.079134333763318","0.0872958119100628"
"(3a) lower tertiary education","2013","66 und älter","477","0.0819359770921749","0.0743931737047333","0.0894787804796165"
"(3b) higher tertiary education","2013","16-34 Jahre alt","836","0.126035806580241","0.118697668640429","0.133373944520054"
"(3b) higher tertiary education","2013","35-65 Jahre alt","3139","0.145052694528979","0.13984990006218","0.150255488995778"
"(3b) higher tertiary education","2013","66 und älter","701","0.103814276341265","0.0954257333288477","0.112202819353682"
"(0) in school","2014","16-34 Jahre alt","895","0.0947109921267103","0.0876138052812941","0.101808178972126"
"(0) in school","2014","35-65 Jahre alt","","","",""
"(0) in school","2014","66 und älter","","","",""
"(1a) inadequately completed","2014","16-34 Jahre alt","131","0.0147837217990666","0.0118585585903144","0.0177088850078188"
"(1a) inadequately completed","2014","35-65 Jahre alt","342","0.0204825632908061","0.0182482153128837","0.0227169112687286"
"(1a) inadequately completed","2014","66 und älter","72","0.016478190120236","0.012939607964172","0.0200167722763"
"(1b) general elementary school","2014","16-34 Jahre alt","746","0.0863830513870869","0.0795739662149198","0.0931921365592541"
"(1b) general elementary school","2014","35-65 Jahre alt","1046","0.0703635347749389","0.0663290974570705","0.0743979720928073"
"(1b) general elementary school","2014","66 und älter","636","0.14345310394293","0.133709646812302","0.153196561073557"
"(1c) basic vocational qualification","2014","16-34 Jahre alt","613","0.0896760655102639","0.0827509236246944","0.0966012073958335"
"(1c) basic vocational qualification","2014","35-65 Jahre alt","3240","0.243472186859444","0.236702170773633","0.250242202945256"
"(1c) basic vocational qualification","2014","66 und älter","2030","0.426768445865105","0.413020312829262","0.440516578900948"
"(2b) intermediate general qualification","2014","16-34 Jahre alt","610","0.0815082499594555","0.0748764588751282","0.0881400410437828"
"(2b) intermediate general qualification","2014","35-65 Jahre alt","206","0.0135401534235089","0.0117170803716579","0.01536322647536"
"(2b) intermediate general qualification","2014","66 und älter","65","0.01443576477652","0.0111202963455326","0.0177512332075074"
"(2a) intermediate vocational","2014","16-34 Jahre alt","1069","0.168323585402502","0.159254946658813","0.177392224146191"
"(2a) intermediate vocational","2014","35-65 Jahre alt","4274","0.286085938736135","0.278957017819862","0.293214859652408"
"(2a) intermediate vocational","2014","66 und älter","743","0.150982497328678","0.141030639685296","0.160934354972059"
"(2c_gen) general maturity certificate","2014","16-34 Jahre alt","962","0.163760983785512","0.154791594883716","0.172730372687308"
"(2c_gen) general maturity certificate","2014","35-65 Jahre alt","453","0.0225036781777447","0.0201641036038861","0.0248432527516033"
"(2c_gen) general maturity certificate","2014","66 und älter","53","0.010486408803118","0.00765497244139544","0.0133178451648406"
"(2c_voc) vocational maturity certificate","2014","16-34 Jahre alt","560","0.105518090255774","0.0980717707934787","0.112964409718069"
"(2c_voc) vocational maturity certificate","2014","35-65 Jahre alt","1759","0.106211511698807","0.101351293736037","0.111071729661576"
"(2c_voc) vocational maturity certificate","2014","66 und älter","202","0.0448644379611274","0.0391104870243811","0.0506183888978736"
"(3a) lower tertiary education","2014","16-34 Jahre alt","256","0.0587600374940083","0.0530599222876323","0.0644601527003843"
"(3a) lower tertiary education","2014","35-65 Jahre alt","1314","0.085404320571954","0.0809956559070361","0.0898129852368719"
"(3a) lower tertiary education","2014","66 und älter","476","0.0840418809594534","0.076329859643722","0.0917539022751848"
"(3b) higher tertiary education","2014","16-34 Jahre alt","697","0.136575222279621","0.128252016461967","0.144898428097274"
"(3b) higher tertiary education","2014","35-65 Jahre alt","2804","0.151936112466661","0.146273753958461","0.157598470974861"
"(3b) higher tertiary education","2014","66 und älter","695","0.108489270242833","0.0998447835074012","0.117133756978264"
"(0) in school","2015","16-34 Jahre alt","782","0.0823403588529793","0.0757121965987772","0.0889685211071815"
"(0) in school","2015","35-65 Jahre alt","","","",""
"(0) in school","2015","66 und älter","","","",""
"(1a) inadequately completed","2015","16-34 Jahre alt","154","0.0159426947097867","0.0129224857099477","0.0189629037096258"
"(1a) inadequately completed","2015","35-65 Jahre alt","377","0.0217428843310686","0.0194166198803129","0.0240691487818243"
"(1a) inadequately completed","2015","66 und älter","60","0.0142937077162364","0.0109799946899659","0.017607420742507"
"(1b) general elementary school","2015","16-34 Jahre alt","734","0.0853674658079127","0.0786297070843365","0.0921052245314889"
"(1b) general elementary school","2015","35-65 Jahre alt","1001","0.066896382033342","0.062911272614108","0.070881491452576"
"(1b) general elementary school","2015","66 und älter","603","0.141009636698251","0.131293642996517","0.150725630399984"
"(1c) basic vocational qualification","2015","16-34 Jahre alt","579","0.088096685867434","0.0812622901677362","0.0949310815671318"
"(1c) basic vocational qualification","2015","35-65 Jahre alt","3036","0.231634926052318","0.224905781961389","0.238364070143247"
"(1c) basic vocational qualification","2015","66 und älter","1982","0.418336071431096","0.404565010341163","0.432107132521029"
"(2b) intermediate general qualification","2015","16-34 Jahre alt","586","0.0837587436841728","0.0770789055845068","0.0904385817838388"
"(2b) intermediate general qualification","2015","35-65 Jahre alt","198","0.0132820601669824","0.0114560498278609","0.0151080705061039"
"(2b) intermediate general qualification","2015","66 und älter","64","0.0153789750711444","0.0119436571815596","0.0188142929607293"
"(2a) intermediate vocational","2015","16-34 Jahre alt","921","0.161026647906598","0.152163889779775","0.16988940603342"
"(2a) intermediate vocational","2015","35-65 Jahre alt","4129","0.291737838699861","0.284487348009422","0.2989883293903"
"(2a) intermediate vocational","2015","66 und älter","767","0.156371650288578","0.146231993045914","0.166511307531241"
"(2c_gen) general maturity certificate","2015","16-34 Jahre alt","1068","0.156568984830952","0.147806574453188","0.165331395208715"
"(2c_gen) general maturity certificate","2015","35-65 Jahre alt","472","0.0238025054327514","0.0213711179346026","0.0262338929309001"
"(2c_gen) general maturity certificate","2015","66 und älter","51","0.0122582471897692","0.00918636486257199","0.0153301295169663"
"(2c_voc) vocational maturity certificate","2015","16-34 Jahre alt","598","0.108397258025028","0.100901064609473","0.115893451440583"
"(2c_voc) vocational maturity certificate","2015","35-65 Jahre alt","1808","0.109648251714703","0.104664508445881","0.114631994983524"
"(2c_voc) vocational maturity certificate","2015","66 und älter","208","0.0467377511644827","0.0408451264196698","0.0526303759092955"
"(3a) lower tertiary education","2015","16-34 Jahre alt","244","0.0592475002376972","0.0535547956983645","0.0649402047770299"
"(3a) lower tertiary education","2015","35-65 Jahre alt","1255","0.0826191228631483","0.0782278630843802","0.0870103826419163"
"(3a) lower tertiary education","2015","66 und älter","460","0.0819050420326545","0.0742496435476881","0.0895604405176209"
"(3b) higher tertiary education","2015","16-34 Jahre alt","941","0.15925366007744","0.150430520664836","0.168076799490045"
"(3b) higher tertiary education","2015","35-65 Jahre alt","2823","0.158636028705826","0.152808735528308","0.164463321883344"
"(3b) higher tertiary education","2015","66 und älter","734","0.113708918407788","0.104846461514097","0.12257137530148"
"(0) in school","2016","16-34 Jahre alt","908","0.0809797637160361","0.075047224001454","0.0869123034306183"
"(0) in school","2016","35-65 Jahre alt","","","",""
"(0) in school","2016","66 und älter","","","",""
"(1a) inadequately completed","2016","16-34 Jahre alt","1065","0.0225720380332755","0.0193419256657819","0.0258021504007692"
"(1a) inadequately completed","2016","35-65 Jahre alt","992","0.0212409909079765","0.0189728420864416","0.0235091397295113"
"(1a) inadequately completed","2016","66 und älter","74","0.0167003720592105","0.0130637772686976","0.0203369668497234"
"(1b) general elementary school","2016","16-34 Jahre alt","1110","0.0878261394687234","0.0816709620969661","0.0939813168404808"
"(1b) general elementary school","2016","35-65 Jahre alt","1164","0.0647369544314597","0.0608662563843966","0.0686076524785228"
"(1b) general elementary school","2016","66 und älter","563","0.140999172851485","0.13112287963959","0.15087546606338"
"(1c) basic vocational qualification","2016","16-34 Jahre alt","521","0.0868543121273444","0.0807300243013125","0.0929785999533764"
"(1c) basic vocational qualification","2016","35-65 Jahre alt","2820","0.229727042974196","0.2231098368869","0.236344249061493"
"(1c) basic vocational qualification","2016","66 und älter","1858","0.406358514435362","0.392420346107304","0.420296682763421"
"(2b) intermediate general qualification","2016","16-34 Jahre alt","546","0.0840885363771882","0.0780534289038712","0.0901236438505052"
"(2b) intermediate general qualification","2016","35-65 Jahre alt","191","0.0142457145912895","0.0123815994653987","0.0161098297171804"
"(2b) intermediate general qualification","2016","66 und älter","66","0.0161606227725935","0.0125822955833755","0.0197389499618115"
"(2a) intermediate vocational","2016","16-34 Jahre alt","768","0.15589195718711","0.148003342599582","0.163780571774639"
"(2a) intermediate vocational","2016","35-65 Jahre alt","3820","0.28330158114902","0.276213331641952","0.290389830656089"
"(2a) intermediate vocational","2016","66 und älter","761","0.162050623748245","0.151593237576083","0.172508009920408"
"(2c_gen) general maturity certificate","2016","16-34 Jahre alt","1241","0.156038460751847","0.148146825194427","0.163930096309266"
"(2c_gen) general maturity certificate","2016","35-65 Jahre alt","647","0.0241394607754391","0.0217250901715193","0.0265538313793589"
"(2c_gen) general maturity certificate","2016","66 und älter","46","0.0118103111320747","0.0087445400040217","0.0148760822601277"
"(2c_voc) vocational maturity certificate","2016","16-34 Jahre alt","592","0.113455861600115","0.10655896817788","0.120352755022351"
"(2c_voc) vocational maturity certificate","2016","35-65 Jahre alt","1772","0.116251713560309","0.111209627571886","0.121293799548732"
"(2c_voc) vocational maturity certificate","2016","66 und älter","197","0.0464267719131343","0.0404557293047064","0.0523978145215621"
"(3a) lower tertiary education","2016","16-34 Jahre alt","210","0.0535167720851027","0.0486224642558959","0.0584110799143094"
"(3a) lower tertiary education","2016","35-65 Jahre alt","1166","0.081355273565865","0.0770548332760359","0.0856557138556941"
"(3a) lower tertiary education","2016","66 und älter","463","0.0835018326167871","0.0756512352285838","0.0913524300049903"
"(3b) higher tertiary education","2016","16-34 Jahre alt","1162","0.158776158653258","0.150828516655471","0.166723800651045"
"(3b) higher tertiary education","2016","35-65 Jahre alt","2948","0.164990625601102","0.159151852693068","0.170829398509136"
"(3b) higher tertiary education","2016","66 und älter","742","0.115991778471107","0.106904566529441","0.125078990412774"
"(0) in school","2017","16-34 Jahre alt","949","0.0870602661427097","0.0813689144520233","0.0927516178333962"
"(0) in school","2017","35-65 Jahre alt","","","",""
"(0) in school","2017","66 und älter","","","",""
"(1a) inadequately completed","2017","16-34 Jahre alt","1459","0.0294913092048785","0.0260759914646421","0.0329066269451149"
"(1a) inadequately completed","2017","35-65 Jahre alt","1214","0.0255885613920245","0.0232404575316822","0.0279366652523668"
"(1a) inadequately completed","2017","66 und älter","99","0.0174001026857279","0.013790544847876","0.0210096605235798"
"(1b) general elementary school","2017","16-34 Jahre alt","1292","0.087900366526983","0.0821842528520589","0.093616480201907"
"(1b) general elementary school","2017","35-65 Jahre alt","1324","0.0683706334687615","0.0646176248010118","0.0721236421365111"
"(1b) general elementary school","2017","66 und älter","552","0.134869422204507","0.125439951362314","0.144298893046701"
"(1c) basic vocational qualification","2017","16-34 Jahre alt","506","0.0776950235053431","0.0722909872937161","0.0830990597169701"
"(1c) basic vocational qualification","2017","35-65 Jahre alt","2927","0.216751026800325","0.210623944984953","0.222878108615698"
"(1c) basic vocational qualification","2017","66 und älter","1883","0.397281714482968","0.383773553917715","0.410789875048222"
"(2b) intermediate general qualification","2017","16-34 Jahre alt","571","0.0763921568262338","0.0710298388246529","0.0817544748278146"
"(2b) intermediate general qualification","2017","35-65 Jahre alt","253","0.0172717335565459","0.0153343845271358","0.019209082585956"
"(2b) intermediate general qualification","2017","66 und älter","80","0.0162439361378707","0.0127543084812984","0.0197335637944431"
"(2a) intermediate vocational","2017","16-34 Jahre alt","910","0.164339912939058","0.156858722166886","0.171821103711231"
"(2a) intermediate vocational","2017","35-65 Jahre alt","4360","0.283130574149978","0.276431163571793","0.289829984728163"
"(2a) intermediate vocational","2017","66 und älter","875","0.170894053395145","0.160503032150657","0.181285074639633"
"(2c_gen) general maturity certificate","2017","16-34 Jahre alt","1502","0.150919006618301","0.14369245844771","0.158145554788891"
"(2c_gen) general maturity certificate","2017","35-65 Jahre alt","723","0.0253890878470287","0.0230499147276023","0.0277282609664552"
"(2c_gen) general maturity certificate","2017","66 und älter","62","0.0155232411800555","0.0121106545984471","0.0189358277616638"
"(2c_voc) vocational maturity certificate","2017","16-34 Jahre alt","651","0.107132757650539","0.100889101750912","0.113376413550165"
"(2c_voc) vocational maturity certificate","2017","35-65 Jahre alt","1944","0.114134901978717","0.109406480173283","0.118863323784151"
"(2c_voc) vocational maturity certificate","2017","66 und älter","213","0.0475725985726207","0.0416965670027373","0.0534486301425041"
"(3a) lower tertiary education","2017","16-34 Jahre alt","256","0.0580825890724697","0.0533607218658909","0.0628044562790484"
"(3a) lower tertiary education","2017","35-65 Jahre alt","1317","0.0780938614500218","0.0741038422745288","0.0820838806255148"
"(3a) lower tertiary education","2017","66 und älter","478","0.0830175846190919","0.0754010873135486","0.0906340819246351"
"(3b) higher tertiary education","2017","16-34 Jahre alt","1330","0.160986611513485","0.153567298421309","0.168405924605661"
"(3b) higher tertiary education","2017","35-65 Jahre alt","3304","0.171259964507577","0.165657743144119","0.176862185871036"
"(3b) higher tertiary education","2017","66 und älter","799","0.117197346722013","0.10831801160716","0.126076681836867"
"(0) in school","2018","16-34 Jahre alt","793","0.0799829930650899","0.074084244463331","0.0858817416668488"
"(0) in school","2018","35-65 Jahre alt","","","",""
"(0) in school","2018","66 und älter","","","",""
"(1a) inadequately completed","2018","16-34 Jahre alt","1089","0.0282439286679226","0.0246414259429439","0.0318464313929013"
"(1a) inadequately completed","2018","35-65 Jahre alt","1085","0.0268668185202511","0.0243759020220126","0.0293577350184897"
"(1a) inadequately completed","2018","66 und älter","91","0.0151381520960484","0.0117644878082234","0.0185118163838734"
"(1b) general elementary school","2018","16-34 Jahre alt","1102","0.0896149627610438","0.0834038994866878","0.0958260260353999"
"(1b) general elementary school","2018","35-65 Jahre alt","1214","0.0649651451800158","0.0611683338714283","0.0687619564886033"
"(1b) general elementary school","2018","66 und älter","520","0.129963153622073","0.120672276459923","0.139254030784223"
"(1c) basic vocational qualification","2018","16-34 Jahre alt","434","0.0724447909053363","0.0668079393280337","0.0780816424826389"
"(1c) basic vocational qualification","2018","35-65 Jahre alt","2668","0.210949533468447","0.204664514644516","0.217234552292379"
"(1c) basic vocational qualification","2018","66 und älter","1831","0.38582461875104","0.3723747221783","0.399274515323779"
"(2b) intermediate general qualification","2018","16-34 Jahre alt","563","0.0675180709026706","0.0620618322428268","0.0729743095625144"
"(2b) intermediate general qualification","2018","35-65 Jahre alt","250","0.0171922135676792","0.0151897477992149","0.0191946793361435"
"(2b) intermediate general qualification","2018","66 und älter","86","0.016803478158682","0.013252094970431","0.020354861346933"
"(2a) intermediate vocational","2018","16-34 Jahre alt","780","0.158557865747145","0.150615147503347","0.166500583990942"
"(2a) intermediate vocational","2018","35-65 Jahre alt","4139","0.284126706470655","0.277179039118505","0.291074373822806"
"(2a) intermediate vocational","2018","66 und älter","899","0.170745663267056","0.160348939829765","0.181142386704346"
"(2c_gen) general maturity certificate","2018","16-34 Jahre alt","1348","0.156675919427846","0.148771654094428","0.164580184761264"
"(2c_gen) general maturity certificate","2018","35-65 Jahre alt","682","0.027740174692176","0.0252102320575783","0.0302701173267737"
"(2c_gen) general maturity certificate","2018","66 und älter","71","0.017583876501534","0.0139524034306826","0.0212153495723854"
"(2c_voc) vocational maturity certificate","2018","16-34 Jahre alt","604","0.112225230364392","0.105361506775551","0.119088953953233"
"(2c_voc) vocational maturity certificate","2018","35-65 Jahre alt","1808","0.116831991126224","0.111883560781848","0.121780421470601"
"(2c_voc) vocational maturity certificate","2018","66 und älter","231","0.0505445830368905","0.0444918381121061","0.0565973279616748"
"(3a) lower tertiary education","2018","16-34 Jahre alt","249","0.0551508324580653","0.0501869623096409","0.0601147026064898"
"(3a) lower tertiary education","2018","35-65 Jahre alt","1248","0.0820093719863235","0.0777825323191899","0.0862362116534572"
"(3a) lower tertiary education","2018","66 und älter","484","0.0851104284314325","0.0774004439876499","0.0928204128752152"
"(3b) higher tertiary education","2018","16-34 Jahre alt","1162","0.179585405700489","0.171238695356915","0.187932116044063"
"(3b) higher tertiary education","2018","35-65 Jahre alt","3090","0.169224112269131","0.163447968803897","0.175000255734365"
"(3b) higher tertiary education","2018","66 und älter","819","0.128286046135244","0.119046418187583","0.137525674082905"
"(0) in school","2019","16-34 Jahre alt","612","0.0728244277958029","0.0667605576256305","0.0788882979659753"
"(0) in school","2019","35-65 Jahre alt","","","",""
"(0) in school","2019","66 und älter","","","",""
"(1a) inadequately completed","2019","16-34 Jahre alt","887","0.0254766071114066","0.0217995761015461","0.0291536381212671"
"(1a) inadequately completed","2019","35-65 Jahre alt","1066","0.0286456704804439","0.026111337541345","0.0311800034195429"
"(1a) inadequately completed","2019","66 und älter","86","0.014494724609127","0.0112506036520064","0.0177388455662475"
"(1b) general elementary school","2019","16-34 Jahre alt","893","0.08584336997594","0.0793061356974531","0.092380604254427"
"(1b) general elementary school","2019","35-65 Jahre alt","1101","0.0636912205625436","0.0599810432464048","0.0674013978786824"
"(1b) general elementary school","2019","66 und älter","471","0.123032749781493","0.11411686124344","0.131948638319546"
"(1c) basic vocational qualification","2019","16-34 Jahre alt","358","0.0717758048003753","0.0657523474301527","0.077799262170598"
"(1c) basic vocational qualification","2019","35-65 Jahre alt","2456","0.198571796953122","0.19251090661892","0.204632687287325"
"(1c) basic vocational qualification","2019","66 und älter","1765","0.376159036815573","0.363010262487386","0.38930781114376"
"(2b) intermediate general qualification","2019","16-34 Jahre alt","540","0.0754575781820222","0.0692938253351997","0.0816213310288447"
"(2b) intermediate general qualification","2019","35-65 Jahre alt","269","0.0162893610933352","0.0143661319045057","0.0182125902821647"
"(2b) intermediate general qualification","2019","66 und älter","90","0.0166334173221704","0.0131619662990408","0.0201048683453"
"(2a) intermediate vocational","2019","16-34 Jahre alt","695","0.158165328087881","0.149650038716771","0.166680617458991"
"(2a) intermediate vocational","2019","35-65 Jahre alt","4243","0.280929869817816","0.27410129746267","0.287758442172962"
"(2a) intermediate vocational","2019","66 und älter","992","0.180763722791894","0.170318377434146","0.191209068149642"
"(2c_gen) general maturity certificate","2019","16-34 Jahre alt","1211","0.159739538195749","0.151189982618131","0.168289093773368"
"(2c_gen) general maturity certificate","2019","35-65 Jahre alt","684","0.028653279275902","0.0261186197046639","0.0311879388471402"
"(2c_gen) general maturity certificate","2019","66 und älter","91","0.0197496786721799","0.0159729908204936","0.0235263665238662"
"(2c_voc) vocational maturity certificate","2019","16-34 Jahre alt","560","0.113972584236481","0.106556850272924","0.121388318200038"
"(2c_voc) vocational maturity certificate","2019","35-65 Jahre alt","1944","0.123257719694842","0.118263261619192","0.128252177770493"
"(2c_voc) vocational maturity certificate","2019","66 und älter","250","0.049472550589368","0.0435864584015069","0.0553586427772291"
"(3a) lower tertiary education","2019","16-34 Jahre alt","235","0.0525521514232673","0.0473449632704765","0.0577593395760582"
"(3a) lower tertiary education","2019","35-65 Jahre alt","1440","0.0819003251519398","0.07773419280749","0.0860664574963895"
"(3a) lower tertiary education","2019","66 und älter","531","0.0860706452056228","0.0784578101486991","0.0936834802625465"
"(3b) higher tertiary education","2019","16-34 Jahre alt","1063","0.184192610191074","0.175146533152342","0.193238687229807"
"(3b) higher tertiary education","2019","35-65 Jahre alt","3438","0.178058273367505","0.172245988048391","0.183870558686618"
