year,migback,sampreg,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,No migration background,East,Vocational Training,0.01266,120,5073,0.00959,0.01574
2018,No migration background,East,"Marginal, Irregular Part-Time Employment",0.03635,199,5073,0.03120,0.04150
2018,No migration background,East,Not Employed,0.36479,2110,5073,0.35154,0.37803
2018,Direct migration background,West,Full-Time Employment,0.37485,2077,7477,0.36388,0.38583
2018,Direct migration background,West,Regular Part-Time Employment,0.13260,875,7477,0.12491,0.14029
2018,Direct migration background,West,Vocational Training,0.01306,219,7477,0.01049,0.01564
2018,Direct migration background,West,"Marginal, Irregular Part-Time Employment",0.06083,438,7477,0.05542,0.06625
2018,Direct migration background,West,Not Employed,0.37034,3868,7477,0.35940,0.38129
2018,Direct migration background,East,Full-Time Employment,0.37094,190,893,0.33924,0.40264
2018,Direct migration background,East,Regular Part-Time Employment,0.11798,81,893,0.09681,0.13915
2018,Direct migration background,East,"Marginal, Irregular Part-Time Employment",0.04980,52,893,0.03553,0.06408
2018,Direct migration background,East,Not Employed,0.33930,570,893,0.30823,0.37037
2018,Indirect migration background,West,Full-Time Employment,0.22942,554,1596,0.20879,0.25006
2018,Indirect migration background,West,Regular Part-Time Employment,0.06484,220,1596,0.05275,0.07692
2018,Indirect migration background,West,Vocational Training,0.04357,132,1596,0.03355,0.05359
2018,Indirect migration background,West,"Marginal, Irregular Part-Time Employment",0.04179,148,1596,0.03197,0.05161
2018,Indirect migration background,West,Not Employed,0.15395,542,1596,0.13624,0.17166
2018,Indirect migration background,East,Full-Time Employment,0.23335,43,91,0.14597,0.32074
2018,Indirect migration background,East,Not Employed,0.15969,48,91,0.08401,0.23538
2019,No migration background,West,Full-Time Employment,0.33862,6084,15147,0.33109,0.34616
2019,No migration background,West,Regular Part-Time Employment,0.11995,2623,15147,0.11477,0.12512
2019,No migration background,West,Vocational Training,0.02009,385,15147,0.01785,0.02232
2019,No migration background,West,"Marginal, Irregular Part-Time Employment",0.04515,883,15147,0.04185,0.04846
2019,No migration background,West,Not Employed,0.34113,5172,15147,0.33358,0.34868
2019,No migration background,East,Full-Time Employment,0.34726,2207,5174,0.33429,0.36024
2019,No migration background,East,Regular Part-Time Employment,0.10138,652,5174,0.09316,0.10961
2019,No migration background,East,Vocational Training,0.01799,116,5174,0.01437,0.02161
2019,No migration background,East,"Marginal, Irregular Part-Time Employment",0.03119,186,5174,0.02646,0.03593
2019,No migration background,East,Not Employed,0.36376,2013,5174,0.35065,0.37687
2019,Direct migration background,West,Full-Time Employment,0.36996,2032,6700,0.35840,0.38152
2019,Direct migration background,West,Regular Part-Time Employment,0.14667,842,6700,0.13820,0.15515
2019,Direct migration background,West,Vocational Training,0.01202,227,6700,0.00941,0.01463
2019,Direct migration background,West,"Marginal, Irregular Part-Time Employment",0.05724,380,6700,0.05168,0.06280
2019,Direct migration background,West,Not Employed,0.37082,3219,6700,0.35925,0.38239
2019,Direct migration background,East,Full-Time Employment,0.34395,193,751,0.30995,0.37794
2019,Direct migration background,East,Regular Part-Time Employment,0.12548,68,751,0.10178,0.14919
2019,Direct migration background,East,"Marginal, Irregular Part-Time Employment",0.03943,48,751,0.02550,0.05336
2019,Direct migration background,East,Not Employed,0.35811,442,751,0.32380,0.39242
2019,Indirect migration background,West,Full-Time Employment,0.22784,584,1526,0.20679,0.24889
2019,Indirect migration background,West,Regular Part-Time Employment,0.08019,231,1526,0.06656,0.09382
2019,Indirect migration background,West,Vocational Training,0.03519,114,1526,0.02594,0.04444
2019,Indirect migration background,West,"Marginal, Irregular Part-Time Employment",0.02928,128,1526,0.02082,0.03774
2019,Indirect migration background,West,Not Employed,0.15498,469,1526,0.13682,0.17315
2019,Indirect migration background,East,Full-Time Employment,0.21243,57,95,0.12975,0.29512
2019,Indirect migration background,East,Not Employed,0.18543,38,95,0.10687,0.26400
2020,No migration background,West,Full-Time Employment,0.33504,5462,14040,0.32723,0.34285
2020,No migration background,West,Regular Part-Time Employment,0.12210,2452,14040,0.11668,0.12751
2020,No migration background,West,Vocational Training,0.01912,351,14040,0.01686,0.02139
2020,No migration background,West,"Marginal, Irregular Part-Time Employment",0.04529,807,14040,0.04185,0.04873
2020,No migration background,West,Not Employed,0.34223,4968,14040,0.33438,0.35008
2020,No migration background,East,Full-Time Employment,0.34307,1964,4773,0.32960,0.35654
2020,No migration background,East,Regular Part-Time Employment,0.10954,630,4773,0.10068,0.11840
2020,No migration background,East,Vocational Training,0.01902,100,4773,0.01514,0.02289
2020,No migration background,East,"Marginal, Irregular Part-Time Employment",0.03309,167,4773,0.02801,0.03816
2020,No migration background,East,Not Employed,0.35772,1912,4773,0.34412,0.37132
2020,Direct migration background,West,Full-Time Employment,0.38210,3282,8411,0.37172,0.39249
2020,Direct migration background,West,Regular Part-Time Employment,0.14307,929,8411,0.13559,0.15055
2020,Direct migration background,West,Vocational Training,0.01458,376,8411,0.01202,0.01714
2020,Direct migration background,West,"Marginal, Irregular Part-Time Employment",0.04112,323,8411,0.03688,0.04537
2020,Direct migration background,West,Not Employed,0.37390,3501,8411,0.36356,0.38424
2020,Direct migration background,East,Full-Time Employment,0.41240,324,1017,0.38213,0.44267
2020,Direct migration background,East,Regular Part-Time Employment,0.10889,103,1017,0.08974,0.12805
2020,Direct migration background,East,Vocational Training,0.01284,35,1017,0.00592,0.01977
2020,Direct migration background,East,"Marginal, Irregular Part-Time Employment",0.04263,48,1017,0.03021,0.05505
2020,Direct migration background,East,Not Employed,0.32653,507,1017,0.29770,0.35537
2020,Indirect migration background,West,Full-Time Employment,0.21970,581,1493,0.19869,0.24071
2020,Indirect migration background,West,Regular Part-Time Employment,0.06138,211,1493,0.04920,0.07356
2020,Indirect migration background,West,Vocational Training,0.04319,119,1493,0.03287,0.05350
2020,Indirect migration background,West,"Marginal, Irregular Part-Time Employment",0.03064,112,1493,0.02189,0.03938
2020,Indirect migration background,West,Not Employed,0.15835,470,1493,0.13983,0.17688
2020,Indirect migration background,East,Full-Time Employment,0.20858,55,91,0.12463,0.29252
2020,Indirect migration background,East,Not Employed,0.17812,36,91,0.09907,0.25717
2021,No migration background,West,Full-Time Employment,0.33775,3923,9996,0.32848,0.34703
2021,No migration background,West,Regular Part-Time Employment,0.11912,1737,9996,0.11277,0.12547
2021,No migration background,West,Vocational Training,0.01528,191,9996,0.01288,0.01769
2021,No migration background,West,"Marginal, Irregular Part-Time Employment",0.04418,521,9996,0.04015,0.04820
2021,No migration background,West,Not Employed,0.33814,3558,9996,0.32887,0.34742
2021,No migration background,West,In short-time work (since 2021),0.00558,66,9996,0.00412,0.00704
2021,No migration background,East,Full-Time Employment,0.34808,1338,3286,0.33179,0.36437
2021,No migration background,East,Regular Part-Time Employment,0.10387,442,3286,0.09344,0.11431
2021,No migration background,East,Vocational Training,0.02146,61,3286,0.01651,0.02642
2021,No migration background,East,"Marginal, Irregular Part-Time Employment",0.02814,127,3286,0.02249,0.03380
2021,No migration background,East,Not Employed,0.34482,1318,3286,0.32856,0.36107
2021,Direct migration background,West,Full-Time Employment,0.38048,1841,4970,0.36699,0.39398
2021,Direct migration background,West,Regular Part-Time Employment,0.13785,600,4970,0.12826,0.14743
2021,Direct migration background,West,Vocational Training,0.01464,151,4970,0.01130,0.01798
2021,Direct migration background,West,"Marginal, Irregular Part-Time Employment",0.05578,137,4970,0.04940,0.06216
2021,Direct migration background,West,Not Employed,0.34412,2154,4970,0.33091,0.35733
2021,Direct migration background,West,In short-time work (since 2021),0.00951,87,4970,0.00681,0.01221
2021,Direct migration background,East,Full-Time Employment,0.39335,207,533,0.35184,0.43486
2021,Direct migration background,East,Regular Part-Time Employment,0.12867,67,533,0.10022,0.15712
2021,Direct migration background,East,Not Employed,0.31183,259,533,0.27246,0.35119
2021,Indirect migration background,West,Full-Time Employment,0.22920,356,888,0.20154,0.25686
2021,Indirect migration background,West,Regular Part-Time Employment,0.07166,136,888,0.05469,0.08863
2021,Indirect migration background,West,Vocational Training,0.01839,50,888,0.00955,0.02723
2021,Indirect migration background,West,"Marginal, Irregular Part-Time Employment",0.03029,77,888,0.01901,0.04156
2021,Indirect migration background,West,Not Employed,0.13547,269,888,0.11295,0.15800
2021,Indirect migration background,East,Full-Time Employment,0.19392,39,39,0.06821,0.31962
2022,No migration background,West,Full-Time Employment,0.33211,5927,13731,0.32423,0.33998
2022,No migration background,West,Regular Part-Time Employment,0.13307,2560,13731,0.12739,0.13875
2022,No migration background,West,Vocational Training,0.01344,277,13731,0.01151,0.01537
2022,No migration background,West,"Marginal, Irregular Part-Time Employment",0.04385,788,13731,0.04043,0.04728
2022,No migration background,West,Not Employed,0.32476,4179,13731,0.31693,0.33259
2022,No migration background,East,Full-Time Employment,0.35481,2096,4704,0.34113,0.36848
2022,No migration background,East,Regular Part-Time Employment,0.10976,712,4704,0.10082,0.11869
2022,No migration background,East,Vocational Training,0.01957,121,4704,0.01561,0.02353
2022,No migration background,East,"Marginal, Irregular Part-Time Employment",0.03275,202,4704,0.02766,0.03783
2022,No migration background,East,Not Employed,0.33164,1573,4704,0.31818,0.34509
2022,Direct migration background,West,Full-Time Employment,0.40854,3808,7172,0.39716,0.41991
2022,Direct migration background,West,Regular Part-Time Employment,0.14191,815,7172,0.13383,0.14998
2022,Direct migration background,West,Vocational Training,0.01528,266,7172,0.01244,0.01812
2022,Direct migration background,West,"Marginal, Irregular Part-Time Employment",0.04696,201,7172,0.04206,0.05186
2022,Direct migration background,West,Not Employed,0.30482,1995,7172,0.29416,0.31547
2022,Direct migration background,West,In short-time work (since 2021),0.00654,87,7172,0.00468,0.00841
2022,Direct migration background,East,Full-Time Employment,0.37194,559,1003,0.34202,0.40187
2022,Direct migration background,East,Regular Part-Time Employment,0.20792,91,1003,0.18279,0.23305
2022,Direct migration background,East,Vocational Training,0.02150,42,1003,0.01252,0.03049
2022,Direct migration background,East,Not Employed,0.28432,311,1003,0.25639,0.31225
2022,Indirect migration background,West,Full-Time Employment,0.25978,551,1332,0.23622,0.28333
2022,Indirect migration background,West,Regular Part-Time Employment,0.09587,267,1332,0.08005,0.11169
2022,Indirect migration background,West,Vocational Training,0.01820,59,1332,0.01102,0.02538
2022,Indirect migration background,West,"Marginal, Irregular Part-Time Employment",0.02745,86,1332,0.01868,0.03623
2022,Indirect migration background,West,Not Employed,0.15008,369,1332,0.13090,0.16927
2022,Indirect migration background,East,Full-Time Employment,0.27189,78,120,0.19195,0.35183
2022,Indirect migration background,East,Not Employed,0.15867,42,120,0.09302,0.22431
