"pld0045","year","bildungsniveau","migback","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Nie","2009","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","2009","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","2009","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2009","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","2009","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","2009","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","2009","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2009","Realschule","kein Migrationshintergrund","","","",""
"Nie","2009","Realschule","direkter Migrationshintergrund","","","",""
"Nie","2009","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","2009","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2009","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","2009","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","2009","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","2009","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2009","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","2009","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","2009","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","2009","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2010","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Sehr oft","2010","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Sehr oft","2010","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Sehr oft","2010","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2010","Hauptschule","kein Migrationshintergrund","","","",""
"Sehr oft","2010","Hauptschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2010","Hauptschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2010","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2010","Realschule","kein Migrationshintergrund","","","",""
"Sehr oft","2010","Realschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2010","Realschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2010","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2010","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Sehr oft","2010","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Sehr oft","2010","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Sehr oft","2010","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2010","AkademikerIn","kein Migrationshintergrund","","","",""
"Sehr oft","2010","AkademikerIn","direkter Migrationshintergrund","","","",""
"Sehr oft","2010","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Sehr oft","2010","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2010","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Oft","2010","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Oft","2010","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Oft","2010","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2010","Hauptschule","kein Migrationshintergrund","","","",""
"Oft","2010","Hauptschule","direkter Migrationshintergrund","","","",""
"Oft","2010","Hauptschule","indirekter Migrationshintergrund","","","",""
"Oft","2010","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2010","Realschule","kein Migrationshintergrund","","","",""
"Oft","2010","Realschule","direkter Migrationshintergrund","","","",""
"Oft","2010","Realschule","indirekter Migrationshintergrund","","","",""
"Oft","2010","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2010","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Oft","2010","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Oft","2010","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Oft","2010","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2010","AkademikerIn","kein Migrationshintergrund","","","",""
"Oft","2010","AkademikerIn","direkter Migrationshintergrund","","","",""
"Oft","2010","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Oft","2010","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2010","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Manchmal","2010","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Manchmal","2010","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Manchmal","2010","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2010","Hauptschule","kein Migrationshintergrund","","","",""
"Manchmal","2010","Hauptschule","direkter Migrationshintergrund","","","",""
"Manchmal","2010","Hauptschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2010","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2010","Realschule","kein Migrationshintergrund","","","",""
"Manchmal","2010","Realschule","direkter Migrationshintergrund","","","",""
"Manchmal","2010","Realschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2010","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2010","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Manchmal","2010","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Manchmal","2010","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Manchmal","2010","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2010","AkademikerIn","kein Migrationshintergrund","","","",""
"Manchmal","2010","AkademikerIn","direkter Migrationshintergrund","","","",""
"Manchmal","2010","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Manchmal","2010","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2010","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Selten","2010","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Selten","2010","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Selten","2010","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2010","Hauptschule","kein Migrationshintergrund","","","",""
"Selten","2010","Hauptschule","direkter Migrationshintergrund","","","",""
"Selten","2010","Hauptschule","indirekter Migrationshintergrund","","","",""
"Selten","2010","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2010","Realschule","kein Migrationshintergrund","","","",""
"Selten","2010","Realschule","direkter Migrationshintergrund","","","",""
"Selten","2010","Realschule","indirekter Migrationshintergrund","","","",""
"Selten","2010","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2010","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Selten","2010","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Selten","2010","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Selten","2010","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2010","AkademikerIn","kein Migrationshintergrund","","","",""
"Selten","2010","AkademikerIn","direkter Migrationshintergrund","","","",""
"Selten","2010","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Selten","2010","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2010","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","2010","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","2010","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","2010","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2010","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","2010","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","2010","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","2010","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2010","Realschule","kein Migrationshintergrund","","","",""
"Nie","2010","Realschule","direkter Migrationshintergrund","","","",""
"Nie","2010","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","2010","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2010","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","2010","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","2010","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","2010","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2010","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","2010","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","2010","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","2010","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2011","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Sehr oft","2011","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Sehr oft","2011","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Sehr oft","2011","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2011","Hauptschule","kein Migrationshintergrund","","","",""
"Sehr oft","2011","Hauptschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2011","Hauptschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2011","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2011","Realschule","kein Migrationshintergrund","","","",""
"Sehr oft","2011","Realschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2011","Realschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2011","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2011","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Sehr oft","2011","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Sehr oft","2011","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Sehr oft","2011","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2011","AkademikerIn","kein Migrationshintergrund","","","",""
"Sehr oft","2011","AkademikerIn","direkter Migrationshintergrund","","","",""
"Sehr oft","2011","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Sehr oft","2011","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2011","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Oft","2011","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Oft","2011","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Oft","2011","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2011","Hauptschule","kein Migrationshintergrund","","","",""
"Oft","2011","Hauptschule","direkter Migrationshintergrund","","","",""
"Oft","2011","Hauptschule","indirekter Migrationshintergrund","","","",""
"Oft","2011","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2011","Realschule","kein Migrationshintergrund","","","",""
"Oft","2011","Realschule","direkter Migrationshintergrund","","","",""
"Oft","2011","Realschule","indirekter Migrationshintergrund","","","",""
"Oft","2011","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2011","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Oft","2011","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Oft","2011","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Oft","2011","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2011","AkademikerIn","kein Migrationshintergrund","","","",""
"Oft","2011","AkademikerIn","direkter Migrationshintergrund","","","",""
"Oft","2011","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Oft","2011","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2011","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Manchmal","2011","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Manchmal","2011","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Manchmal","2011","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2011","Hauptschule","kein Migrationshintergrund","","","",""
"Manchmal","2011","Hauptschule","direkter Migrationshintergrund","","","",""
"Manchmal","2011","Hauptschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2011","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2011","Realschule","kein Migrationshintergrund","","","",""
"Manchmal","2011","Realschule","direkter Migrationshintergrund","","","",""
"Manchmal","2011","Realschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2011","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2011","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Manchmal","2011","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Manchmal","2011","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Manchmal","2011","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2011","AkademikerIn","kein Migrationshintergrund","","","",""
"Manchmal","2011","AkademikerIn","direkter Migrationshintergrund","","","",""
"Manchmal","2011","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Manchmal","2011","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2011","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Selten","2011","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Selten","2011","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Selten","2011","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2011","Hauptschule","kein Migrationshintergrund","","","",""
"Selten","2011","Hauptschule","direkter Migrationshintergrund","","","",""
"Selten","2011","Hauptschule","indirekter Migrationshintergrund","","","",""
"Selten","2011","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2011","Realschule","kein Migrationshintergrund","","","",""
"Selten","2011","Realschule","direkter Migrationshintergrund","","","",""
"Selten","2011","Realschule","indirekter Migrationshintergrund","","","",""
"Selten","2011","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2011","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Selten","2011","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Selten","2011","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Selten","2011","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2011","AkademikerIn","kein Migrationshintergrund","","","",""
"Selten","2011","AkademikerIn","direkter Migrationshintergrund","","","",""
"Selten","2011","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Selten","2011","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2011","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","2011","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","2011","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","2011","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2011","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","2011","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","2011","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","2011","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2011","Realschule","kein Migrationshintergrund","","","",""
"Nie","2011","Realschule","direkter Migrationshintergrund","","","",""
"Nie","2011","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","2011","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2011","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","2011","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","2011","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","2011","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2011","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","2011","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","2011","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","2011","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2012","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Sehr oft","2012","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Sehr oft","2012","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Sehr oft","2012","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2012","Hauptschule","kein Migrationshintergrund","","","",""
"Sehr oft","2012","Hauptschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2012","Hauptschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2012","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2012","Realschule","kein Migrationshintergrund","","","",""
"Sehr oft","2012","Realschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2012","Realschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2012","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2012","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Sehr oft","2012","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Sehr oft","2012","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Sehr oft","2012","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2012","AkademikerIn","kein Migrationshintergrund","","","",""
"Sehr oft","2012","AkademikerIn","direkter Migrationshintergrund","","","",""
"Sehr oft","2012","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Sehr oft","2012","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2012","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Oft","2012","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Oft","2012","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Oft","2012","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2012","Hauptschule","kein Migrationshintergrund","","","",""
"Oft","2012","Hauptschule","direkter Migrationshintergrund","","","",""
"Oft","2012","Hauptschule","indirekter Migrationshintergrund","","","",""
"Oft","2012","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2012","Realschule","kein Migrationshintergrund","","","",""
"Oft","2012","Realschule","direkter Migrationshintergrund","","","",""
"Oft","2012","Realschule","indirekter Migrationshintergrund","","","",""
"Oft","2012","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2012","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Oft","2012","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Oft","2012","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Oft","2012","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2012","AkademikerIn","kein Migrationshintergrund","","","",""
"Oft","2012","AkademikerIn","direkter Migrationshintergrund","","","",""
"Oft","2012","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Oft","2012","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2012","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Manchmal","2012","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Manchmal","2012","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Manchmal","2012","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2012","Hauptschule","kein Migrationshintergrund","","","",""
"Manchmal","2012","Hauptschule","direkter Migrationshintergrund","","","",""
"Manchmal","2012","Hauptschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2012","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2012","Realschule","kein Migrationshintergrund","","","",""
"Manchmal","2012","Realschule","direkter Migrationshintergrund","","","",""
"Manchmal","2012","Realschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2012","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2012","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Manchmal","2012","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Manchmal","2012","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Manchmal","2012","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2012","AkademikerIn","kein Migrationshintergrund","","","",""
"Manchmal","2012","AkademikerIn","direkter Migrationshintergrund","","","",""
"Manchmal","2012","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Manchmal","2012","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2012","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Selten","2012","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Selten","2012","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Selten","2012","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2012","Hauptschule","kein Migrationshintergrund","","","",""
"Selten","2012","Hauptschule","direkter Migrationshintergrund","","","",""
"Selten","2012","Hauptschule","indirekter Migrationshintergrund","","","",""
"Selten","2012","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2012","Realschule","kein Migrationshintergrund","","","",""
"Selten","2012","Realschule","direkter Migrationshintergrund","","","",""
"Selten","2012","Realschule","indirekter Migrationshintergrund","","","",""
"Selten","2012","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2012","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Selten","2012","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Selten","2012","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Selten","2012","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2012","AkademikerIn","kein Migrationshintergrund","","","",""
"Selten","2012","AkademikerIn","direkter Migrationshintergrund","","","",""
"Selten","2012","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Selten","2012","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2012","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","2012","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","2012","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","2012","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2012","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","2012","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","2012","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","2012","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2012","Realschule","kein Migrationshintergrund","","","",""
"Nie","2012","Realschule","direkter Migrationshintergrund","","","",""
"Nie","2012","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","2012","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2012","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","2012","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","2012","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","2012","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2012","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","2012","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","2012","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","2012","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2013","(noch) kein Abschluss","kein Migrationshintergrund","49","0.0917299451826498","0.0668970430443058","0.116562847320994"
"Sehr oft","2013","(noch) kein Abschluss","direkter Migrationshintergrund","10","","",""
"Sehr oft","2013","(noch) kein Abschluss","indirekter Migrationshintergrund","12","","",""
"Sehr oft","2013","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2013","Hauptschule","kein Migrationshintergrund","370","0.0466736532092095","0.0414768384275366","0.0518704679908824"
"Sehr oft","2013","Hauptschule","direkter Migrationshintergrund","47","0.0394039849236498","0.0276585731215136","0.051149396725786"
"Sehr oft","2013","Hauptschule","indirekter Migrationshintergrund","20","","",""
"Sehr oft","2013","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2013","Realschule","kein Migrationshintergrund","436","0.0527373999079207","0.0473573552665414","0.0581174445493001"
"Sehr oft","2013","Realschule","direkter Migrationshintergrund","19","","",""
"Sehr oft","2013","Realschule","indirekter Migrationshintergrund","25","","",""
"Sehr oft","2013","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2013","(Fach-)Abitur","kein Migrationshintergrund","211","0.0637103261817974","0.0541631379437754","0.0732575144198193"
"Sehr oft","2013","(Fach-)Abitur","direkter Migrationshintergrund","28","","",""
"Sehr oft","2013","(Fach-)Abitur","indirekter Migrationshintergrund","13","","",""
"Sehr oft","2013","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2013","AkademikerIn","kein Migrationshintergrund","342","0.0622184236089035","0.0555655144662392","0.0688713327515677"
"Sehr oft","2013","AkademikerIn","direkter Migrationshintergrund","38","0.0774461482173287","0.0553075635752697","0.0995847328593877"
"Sehr oft","2013","AkademikerIn","indirekter Migrationshintergrund","24","","",""
"Sehr oft","2013","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2013","(noch) kein Abschluss","kein Migrationshintergrund","54","0.0850390582140977","0.0610410658626306","0.109037050565565"
"Oft","2013","(noch) kein Abschluss","direkter Migrationshintergrund","16","","",""
"Oft","2013","(noch) kein Abschluss","indirekter Migrationshintergrund","6","","",""
"Oft","2013","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2013","Hauptschule","kein Migrationshintergrund","570","0.0814020660650639","0.0746651522846036","0.0881389798455241"
"Oft","2013","Hauptschule","direkter Migrationshintergrund","91","0.0631334063762763","0.0484510326832074","0.0778157800693453"
"Oft","2013","Hauptschule","indirekter Migrationshintergrund","29","","",""
"Oft","2013","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2013","Realschule","kein Migrationshintergrund","799","0.103009003472145","0.0956921735240273","0.110325833420263"
"Oft","2013","Realschule","direkter Migrationshintergrund","35","0.143589568469077","0.0993162587861511","0.187862878152004"
"Oft","2013","Realschule","indirekter Migrationshintergrund","27","","",""
"Oft","2013","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2013","(Fach-)Abitur","kein Migrationshintergrund","319","0.114062468939819","0.101636267536782","0.126488670342857"
"Oft","2013","(Fach-)Abitur","direkter Migrationshintergrund","64","0.0713264810912663","0.0497977293869486","0.0928552327955839"
"Oft","2013","(Fach-)Abitur","indirekter Migrationshintergrund","28","","",""
"Oft","2013","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2013","AkademikerIn","kein Migrationshintergrund","658","0.111779147844254","0.103100698716375","0.120457596972133"
"Oft","2013","AkademikerIn","direkter Migrationshintergrund","65","0.13752843447437","0.109003627114278","0.166053241834463"
"Oft","2013","AkademikerIn","indirekter Migrationshintergrund","13","","",""
"Oft","2013","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
