"m11104","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Mindestens einmal die Woche","1996","66 +","kein Migrationshintergrund","131","","",""
"Mindestens einmal die Woche","1996","66 +","direkter Migrationshintergrund","16","","",""
"Mindestens einmal die Woche","1996","66 +","indirekter Migrationshintergrund","1","","",""
"Mindestens einmal die Woche","1996","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1997","17-34","kein Migrationshintergrund","994","0.284366871907697","0.268954521705228","0.299779222110167"
"Fast nie oder nie","1997","17-34","direkter Migrationshintergrund","365","0.411798902270015","0.377081681714486","0.446516122825544"
"Fast nie oder nie","1997","17-34","indirekter Migrationshintergrund","110","","",""
"Fast nie oder nie","1997","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1997","35-65","kein Migrationshintergrund","2656","","",""
"Fast nie oder nie","1997","35-65","direkter Migrationshintergrund","1112","","",""
"Fast nie oder nie","1997","35-65","indirekter Migrationshintergrund","15","","",""
"Fast nie oder nie","1997","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1997","66 +","kein Migrationshintergrund","1056","","",""
"Fast nie oder nie","1997","66 +","direkter Migrationshintergrund","190","","",""
"Fast nie oder nie","1997","66 +","indirekter Migrationshintergrund","3","","",""
"Fast nie oder nie","1997","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1997","17-34","kein Migrationshintergrund","864","0.256205732829597","0.241291360362256","0.271120105296938"
"Mehrmals im Jahr","1997","17-34","direkter Migrationshintergrund","184","","",""
"Mehrmals im Jahr","1997","17-34","indirekter Migrationshintergrund","139","","",""
"Mehrmals im Jahr","1997","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1997","35-65","kein Migrationshintergrund","1024","","",""
"Mehrmals im Jahr","1997","35-65","direkter Migrationshintergrund","168","","",""
"Mehrmals im Jahr","1997","35-65","indirekter Migrationshintergrund","6","0.191801304119432","0.055387615495488","0.328214992743376"
"Mehrmals im Jahr","1997","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1997","66 +","kein Migrationshintergrund","81","0.0627181443636628","0.0495231317989541","0.0759131569283714"
"Mehrmals im Jahr","1997","66 +","direkter Migrationshintergrund","7","0.027544563068561","0.00620690901402814","0.0488822171230939"
"Mehrmals im Jahr","1997","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1997","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1997","17-34","kein Migrationshintergrund","285","","",""
"Mindestens einmal im Monat","1997","17-34","direkter Migrationshintergrund","55","0.0681405507034889","0.0503652290952512","0.0859158723117265"
"Mindestens einmal im Monat","1997","17-34","indirekter Migrationshintergrund","63","0.119168700931016","0.0914019721464958","0.146935429715537"
"Mindestens einmal im Monat","1997","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1997","35-65","kein Migrationshintergrund","287","","",""
"Mindestens einmal im Monat","1997","35-65","direkter Migrationshintergrund","42","0.0455115553562463","0.0347837652861529","0.0562393454263397"
"Mindestens einmal im Monat","1997","35-65","indirekter Migrationshintergrund","1","","",""
"Mindestens einmal im Monat","1997","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1997","66 +","kein Migrationshintergrund","19","","",""
"Mindestens einmal im Monat","1997","66 +","direkter Migrationshintergrund","5","0.0166403543572865","-3.71609398848553e-05","0.0333178696544579"
"Mindestens einmal im Monat","1997","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1997","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1997","17-34","kein Migrationshintergrund","1148","","",""
"Mindestens einmal die Woche","1997","17-34","direkter Migrationshintergrund","168","","",""
"Mindestens einmal die Woche","1997","17-34","indirekter Migrationshintergrund","211","","",""
"Mindestens einmal die Woche","1997","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1997","35-65","kein Migrationshintergrund","1125","","",""
"Mindestens einmal die Woche","1997","35-65","direkter Migrationshintergrund","128","","",""
"Mindestens einmal die Woche","1997","35-65","indirekter Migrationshintergrund","10","","",""
"Mindestens einmal die Woche","1997","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1997","66 +","kein Migrationshintergrund","141","","",""
"Mindestens einmal die Woche","1997","66 +","direkter Migrationshintergrund","24","","",""
"Mindestens einmal die Woche","1997","66 +","indirekter Migrationshintergrund","3","","",""
"Mindestens einmal die Woche","1997","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1998","17-34","kein Migrationshintergrund","744","0.191581044598339","0.178675186715589","0.204486902481088"
"Fast nie oder nie","1998","17-34","direkter Migrationshintergrund","313","0.404622257553539","0.368645977769202","0.440598537337876"
"Fast nie oder nie","1998","17-34","indirekter Migrationshintergrund","127","","",""
"Fast nie oder nie","1998","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1998","35-65","kein Migrationshintergrund","2325","","",""
"Fast nie oder nie","1998","35-65","direkter Migrationshintergrund","981","0.60618007774102","0.580740327895469","0.631619827586571"
"Fast nie oder nie","1998","35-65","indirekter Migrationshintergrund","14","","",""
"Fast nie oder nie","1998","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1998","66 +","kein Migrationshintergrund","1173","","",""
"Fast nie oder nie","1998","66 +","direkter Migrationshintergrund","204","","",""
"Fast nie oder nie","1998","66 +","indirekter Migrationshintergrund","3","","",""
"Fast nie oder nie","1998","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1998","17-34","kein Migrationshintergrund","963","0.257994802722123","0.243646473990377","0.272343131453869"
"Mehrmals im Jahr","1998","17-34","direkter Migrationshintergrund","179","","",""
"Mehrmals im Jahr","1998","17-34","indirekter Migrationshintergrund","134","","",""
"Mehrmals im Jahr","1998","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1998","35-65","kein Migrationshintergrund","1521","","",""
"Mehrmals im Jahr","1998","35-65","direkter Migrationshintergrund","213","","",""
"Mehrmals im Jahr","1998","35-65","indirekter Migrationshintergrund","16","","",""
"Mehrmals im Jahr","1998","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1998","66 +","kein Migrationshintergrund","148","","",""
"Mehrmals im Jahr","1998","66 +","direkter Migrationshintergrund","16","","",""
"Mehrmals im Jahr","1998","66 +","indirekter Migrationshintergrund","1","","",""
"Mehrmals im Jahr","1998","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1998","17-34","kein Migrationshintergrund","396","0.111962222333002","0.101621667505646","0.122302777160358"
"Mindestens einmal im Monat","1998","17-34","direkter Migrationshintergrund","55","0.0771019507482939","0.0575493461779828","0.096654555318605"
"Mindestens einmal im Monat","1998","17-34","indirekter Migrationshintergrund","73","0.14988742536849","0.119891002928997","0.179883847807982"
"Mindestens einmal im Monat","1998","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1998","35-65","kein Migrationshintergrund","463","0.0823322369924862","0.0753742887670293","0.089290185217943"
"Mindestens einmal im Monat","1998","35-65","direkter Migrationshintergrund","65","0.0559209686274457","0.0439575669548151","0.0678843703000763"
"Mindestens einmal im Monat","1998","35-65","indirekter Migrationshintergrund","3","","",""
"Mindestens einmal im Monat","1998","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1998","66 +","kein Migrationshintergrund","44","0.0254670408211472","0.0176818145803879","0.0332522670619065"
"Mindestens einmal im Monat","1998","66 +","direkter Migrationshintergrund","3","","",""
"Mindestens einmal im Monat","1998","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1998","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1998","17-34","kein Migrationshintergrund","1469","","",""
"Mindestens einmal die Woche","1998","17-34","direkter Migrationshintergrund","168","","",""
"Mindestens einmal die Woche","1998","17-34","indirekter Migrationshintergrund","210","","",""
"Mindestens einmal die Woche","1998","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1998","35-65","kein Migrationshintergrund","1686","","",""
"Mindestens einmal die Woche","1998","35-65","direkter Migrationshintergrund","158","","",""
"Mindestens einmal die Woche","1998","35-65","indirekter Migrationshintergrund","11","","",""
"Mindestens einmal die Woche","1998","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1998","66 +","kein Migrationshintergrund","208","","",""
"Mindestens einmal die Woche","1998","66 +","direkter Migrationshintergrund","23","","",""
"Mindestens einmal die Woche","1998","66 +","indirekter Migrationshintergrund","1","","",""
"Mindestens einmal die Woche","1998","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1999","17-34","kein Migrationshintergrund","923","0.25463865557101","0.239984061234359","0.269293249907661"
"Fast nie oder nie","1999","17-34","direkter Migrationshintergrund","289","","",""
"Fast nie oder nie","1999","17-34","indirekter Migrationshintergrund","128","","",""
"Fast nie oder nie","1999","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1999","35-65","kein Migrationshintergrund","2820","","",""
"Fast nie oder nie","1999","35-65","direkter Migrationshintergrund","942","0.635690614724344","0.609600957282788","0.6617802721659"
"Fast nie oder nie","1999","35-65","indirekter Migrationshintergrund","18","","",""
"Fast nie oder nie","1999","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1999","66 +","kein Migrationshintergrund","1234","","",""
"Fast nie oder nie","1999","66 +","direkter Migrationshintergrund","215","","",""
"Fast nie oder nie","1999","66 +","indirekter Migrationshintergrund","3","","",""
"Fast nie oder nie","1999","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1999","17-34","kein Migrationshintergrund","951","0.27178678078186","0.256821955672021","0.2867516058917"
"Mehrmals im Jahr","1999","17-34","direkter Migrationshintergrund","142","","",""
"Mehrmals im Jahr","1999","17-34","indirekter Migrationshintergrund","153","","",""
"Mehrmals im Jahr","1999","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1999","35-65","kein Migrationshintergrund","1245","","",""
"Mehrmals im Jahr","1999","35-65","direkter Migrationshintergrund","175","","",""
"Mehrmals im Jahr","1999","35-65","indirekter Migrationshintergrund","17","","",""
"Mehrmals im Jahr","1999","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1999","66 +","kein Migrationshintergrund","87","0.0629616313631913","0.050690163502948","0.0752330992234346"
"Mehrmals im Jahr","1999","66 +","direkter Migrationshintergrund","5","0.0309042809569171","0.00900977603332833","0.0527987858805059"
"Mehrmals im Jahr","1999","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1999","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1999","17-34","kein Migrationshintergrund","337","0.0963523673275532","0.0864267173938535","0.106278017261253"
"Mindestens einmal im Monat","1999","17-34","direkter Migrationshintergrund","58","0.112506457825601","0.0878514730922736","0.137161442558929"
"Mindestens einmal im Monat","1999","17-34","indirekter Migrationshintergrund","71","0.125020167708579","0.0972525322009702","0.152787803216188"
"Mindestens einmal im Monat","1999","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1999","35-65","kein Migrationshintergrund","365","0.0636372336102119","0.0573846090041589","0.0698898582162649"
"Mindestens einmal im Monat","1999","35-65","direkter Migrationshintergrund","49","0.0495440256474794","0.0377795670518015","0.0613084842431572"
"Mindestens einmal im Monat","1999","35-65","indirekter Migrationshintergrund","3","","",""
"Mindestens einmal im Monat","1999","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1999","66 +","kein Migrationshintergrund","31","0.0218527653013389","0.0144663255885472","0.0292392050141306"
"Mindestens einmal im Monat","1999","66 +","direkter Migrationshintergrund","4","0.00954414766936621","-0.00275651777117583","0.0218448131099083"
"Mindestens einmal im Monat","1999","66 +","indirekter Migrationshintergrund","1","","",""
"Mindestens einmal im Monat","1999","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1999","17-34","kein Migrationshintergrund","1184","","",""
"Mindestens einmal die Woche","1999","17-34","direkter Migrationshintergrund","142","","",""
"Mindestens einmal die Woche","1999","17-34","indirekter Migrationshintergrund","193","","",""
"Mindestens einmal die Woche","1999","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1999","35-65","kein Migrationshintergrund","1425","","",""
"Mindestens einmal die Woche","1999","35-65","direkter Migrationshintergrund","141","","",""
"Mindestens einmal die Woche","1999","35-65","indirekter Migrationshintergrund","14","","",""
"Mindestens einmal die Woche","1999","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1999","66 +","kein Migrationshintergrund","153","","",""
"Mindestens einmal die Woche","1999","66 +","direkter Migrationshintergrund","16","","",""
"Mindestens einmal die Woche","1999","66 +","indirekter Migrationshintergrund","2","","",""
"Mindestens einmal die Woche","1999","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2000","17-34","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2000","17-34","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2000","17-34","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2000","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2000","35-65","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2000","35-65","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2000","35-65","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2000","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2000","66 +","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2000","66 +","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2000","66 +","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2000","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2000","17-34","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2000","17-34","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2000","17-34","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2000","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2000","35-65","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2000","35-65","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2000","35-65","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2000","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2000","66 +","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2000","66 +","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2000","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2000","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2000","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2000","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2000","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2000","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2000","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2000","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2000","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2000","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2000","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2000","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2000","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2000","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2000","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2000","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2000","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2000","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2000","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2000","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2000","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2000","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2000","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2000","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2000","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2000","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2001","17-34","kein Migrationshintergrund","1348","","",""
"Fast nie oder nie","2001","17-34","direkter Migrationshintergrund","409","0.476550860032584","0.442428422487823","0.510673297577345"
"Fast nie oder nie","2001","17-34","indirekter Migrationshintergrund","200","","",""
"Fast nie oder nie","2001","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2001","35-65","kein Migrationshintergrund","4958","0.470048919138893","0.460419553833161","0.479678284444624"
"Fast nie oder nie","2001","35-65","direkter Migrationshintergrund","1209","","",""
"Fast nie oder nie","2001","35-65","indirekter Migrationshintergrund","39","0.364327039528717","0.270473647011858","0.458180432045577"
"Fast nie oder nie","2001","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2001","66 +","kein Migrationshintergrund","2362","","",""
"Fast nie oder nie","2001","66 +","direkter Migrationshintergrund","295","","",""
"Fast nie oder nie","2001","66 +","indirekter Migrationshintergrund","12","","",""
"Fast nie oder nie","2001","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2001","17-34","kein Migrationshintergrund","1136","","",""
"Mehrmals im Jahr","2001","17-34","direkter Migrationshintergrund","134","","",""
"Mehrmals im Jahr","2001","17-34","indirekter Migrationshintergrund","144","","",""
"Mehrmals im Jahr","2001","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2001","35-65","kein Migrationshintergrund","1838","","",""
"Mehrmals im Jahr","2001","35-65","direkter Migrationshintergrund","223","","",""
"Mehrmals im Jahr","2001","35-65","indirekter Migrationshintergrund","20","","",""
"Mehrmals im Jahr","2001","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2001","66 +","kein Migrationshintergrund","166","","",""
"Mehrmals im Jahr","2001","66 +","direkter Migrationshintergrund","12","","",""
"Mehrmals im Jahr","2001","66 +","indirekter Migrationshintergrund","2","","",""
"Mehrmals im Jahr","2001","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2001","17-34","kein Migrationshintergrund","448","0.0942877788367772","0.0859738358772688","0.102601721796286"
"Mindestens einmal im Monat","2001","17-34","direkter Migrationshintergrund","65","0.0903698085777458","0.0707817096885656","0.109957907466926"
"Mindestens einmal im Monat","2001","17-34","indirekter Migrationshintergrund","58","0.0827051888892415","0.0613992133379228","0.10401116444056"
"Mindestens einmal im Monat","2001","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2001","35-65","kein Migrationshintergrund","634","0.0631874111337175","0.0584933376661159","0.0678814846013191"
"Mindestens einmal im Monat","2001","35-65","direkter Migrationshintergrund","70","0.0521883689172768","0.0417322362783386","0.0626445015562151"
"Mindestens einmal im Monat","2001","35-65","indirekter Migrationshintergrund","6","0.0410923364962035","0.00237939094161357","0.0798052820507934"
"Mindestens einmal im Monat","2001","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2001","66 +","kein Migrationshintergrund","73","0.0227855249848278","0.0174476645749091","0.0281233853947465"
"Mindestens einmal im Monat","2001","66 +","direkter Migrationshintergrund","7","0.0257787199358535","0.00875770494283693","0.04279973492887"
"Mindestens einmal im Monat","2001","66 +","indirekter Migrationshintergrund","1","","",""
"Mindestens einmal im Monat","2001","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2001","17-34","kein Migrationshintergrund","1814","","",""
"Mindestens einmal die Woche","2001","17-34","direkter Migrationshintergrund","215","","",""
"Mindestens einmal die Woche","2001","17-34","indirekter Migrationshintergrund","240","","",""
"Mindestens einmal die Woche","2001","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2001","35-65","kein Migrationshintergrund","2890","","",""
"Mindestens einmal die Woche","2001","35-65","direkter Migrationshintergrund","236","","",""
"Mindestens einmal die Woche","2001","35-65","indirekter Migrationshintergrund","36","0.432976269145547","0.336344469305312","0.529608068985782"
"Mindestens einmal die Woche","2001","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2001","66 +","kein Migrationshintergrund","401","0.131077494879687","0.119004991484726","0.143149998274647"
"Mindestens einmal die Woche","2001","66 +","direkter Migrationshintergrund","19","","",""
"Mindestens einmal die Woche","2001","66 +","indirekter Migrationshintergrund","2","","",""
"Mindestens einmal die Woche","2001","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2002","17-34","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2002","17-34","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2002","17-34","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2002","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2002","35-65","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2002","35-65","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2002","35-65","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2002","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2002","66 +","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2002","66 +","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2002","66 +","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2002","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2002","17-34","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2002","17-34","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2002","17-34","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2002","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2002","35-65","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2002","35-65","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2002","35-65","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2002","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2002","66 +","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2002","66 +","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2002","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2002","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2002","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2002","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2002","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2002","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2002","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2002","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2002","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2002","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2002","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2002","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2002","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2002","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2002","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2002","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2002","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2002","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2002","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2002","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2002","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2002","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2002","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2002","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2002","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2002","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2003","17-34","kein Migrationshintergrund","872","0.198663218361252","0.187030179135935","0.21029625758657"
"Fast nie oder nie","2003","17-34","direkter Migrationshintergrund","262","","",""
"Fast nie oder nie","2003","17-34","indirekter Migrationshintergrund","178","","",""
"Fast nie oder nie","2003","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2003","35-65","kein Migrationshintergrund","3386","0.329862713639761","0.321024960342606","0.338700466936917"
"Fast nie oder nie","2003","35-65","direkter Migrationshintergrund","973","0.596129182293499","0.571942651250046","0.620315713336951"
"Fast nie oder nie","2003","35-65","indirekter Migrationshintergrund","46","0.301492294137209","0.224648019327498","0.37833656894692"
"Fast nie oder nie","2003","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2003","66 +","kein Migrationshintergrund","2195","","",""
"Fast nie oder nie","2003","66 +","direkter Migrationshintergrund","289","","",""
"Fast nie oder nie","2003","66 +","indirekter Migrationshintergrund","8","0.51233066538694","0.240615227505467","0.784046103268414"
"Fast nie oder nie","2003","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2003","17-34","kein Migrationshintergrund","1067","","",""
"Mehrmals im Jahr","2003","17-34","direkter Migrationshintergrund","139","","",""
"Mehrmals im Jahr","2003","17-34","indirekter Migrationshintergrund","125","","",""
"Mehrmals im Jahr","2003","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2003","35-65","kein Migrationshintergrund","2359","","",""
"Mehrmals im Jahr","2003","35-65","direkter Migrationshintergrund","243","","",""
"Mehrmals im Jahr","2003","35-65","indirekter Migrationshintergrund","27","","",""
"Mehrmals im Jahr","2003","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2003","66 +","kein Migrationshintergrund","284","","",""
"Mehrmals im Jahr","2003","66 +","direkter Migrationshintergrund","22","","",""
"Mehrmals im Jahr","2003","66 +","indirekter Migrationshintergrund","1","","",""
"Mehrmals im Jahr","2003","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
