"beruf","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Arbeitslose","2001","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","221","0.0826698645379454","0.0724715599183468","0.092868169157544"
"Arbeitslose","2001","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","2001","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","48","0.0526239095455825","0.036448871334808","0.0687989477563571"
"Arbeitslose","2001","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","2001","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1347","0.0914815715835647","0.0865072206453486","0.0964559225217808"
"Sonstige Nichterwerbspersonen","2001","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","162","0.0261105156366606","0.0218121238440616","0.0304089074292597"
"Sonstige Nichterwerbspersonen","2001","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","452","0.149684816211133","0.136472761059257","0.162896871363008"
"Sonstige Nichterwerbspersonen","2001","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","2001","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","88","0.112984916331458","0.090051524717426","0.135918307945491"
"Sonstige Nichterwerbspersonen","2001","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","2001","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","643","0.0436735686520804","0.0401473019014911","0.0471998354026698"
"Beamte","2001","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","109","0.0188655625626133","0.0151982951807608","0.0225328299444659"
"Beamte","2001","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","2001","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","2001","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","2001","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2002","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1837","0.142306654511011","0.136552320206721","0.1480609888153"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2002","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","620","0.114607155334014","0.106028741862134","0.123185568805895"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2002","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","786","0.30239856169064","0.285032241578867","0.319764881802412"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2002","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2002","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","138","0.167074947106218","0.140305629159354","0.193844265053082"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2002","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2002","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","4094","0.274179251042503","0.266831601279595","0.281526900805412"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2002","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1604","0.264506673180285","0.252628742414827","0.276384603945744"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2002","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","482","0.16033461879981","0.146461278681762","0.174207958917858"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2002","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2002","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","194","0.261956365957729","0.230403836921696","0.293508894993763"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2002","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","2002","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1250","0.0686348355606531","0.0644704708442133","0.072799200277093"
"Selbstständige/ManagerInnen","2002","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","322","0.0523897250329664","0.0463894515587543","0.0583899985071786"
"Selbstständige/ManagerInnen","2002","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","136","0.0426935329117417","0.0350495307466061","0.0503375350768773"
"Selbstständige/ManagerInnen","2002","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","2002","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","30","0.0327766127285946","0.0199997535932808","0.0455534718639084"
"Selbstständige/ManagerInnen","2002","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","2002","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1005","0.0578415621250712","0.0539965435513649","0.0616865806987774"
"In Ausbildung","2002","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","524","0.0832145742983514","0.0757763948307055","0.0906527537659974"
"In Ausbildung","2002","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","160","0.0784334606427146","0.0682679711593381","0.0885989501260911"
"In Ausbildung","2002","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","2002","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","223","0.316867524439274","0.28348109243476","0.350253956443787"
"In Ausbildung","2002","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","2002","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3215","0.287352583299564","0.279899064094326","0.294806102504803"
"In Rente oder Pension","2002","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1350","0.320380646802071","0.307814587345706","0.332946706258436"
"In Rente oder Pension","2002","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","479","0.190181410355807","0.175342836568957","0.205019984142656"
"In Rente oder Pension","2002","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","68","0.589591198981614","0.500074733661368","0.679107664301861"
"In Rente oder Pension","2002","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","2002","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","2002","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","455","0.0388819283713968","0.0356978867664682","0.0420659699763253"
"Arbeitslose","2002","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","591","0.119145490829632","0.11042132321699","0.127869658442275"
"Arbeitslose","2002","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","207","0.0826346278383317","0.0722242506067527","0.0930450050699107"
"Arbeitslose","2002","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","2002","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","45","0.0683557656760867","0.050246897647446","0.0864646337047274"
"Arbeitslose","2002","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","2002","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1378","0.0900603934842714","0.0853453069370583","0.0947754800314844"
"Sonstige Nichterwerbspersonen","2002","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","165","0.0307595367414944","0.0261096886167516","0.0354093848662372"
"Sonstige Nichterwerbspersonen","2002","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","413","0.137478983793939","0.124458795725089","0.150499171862788"
"Sonstige Nichterwerbspersonen","2002","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","2002","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","91","0.105017462015143","0.0830177641011509","0.127017159929134"
"Sonstige Nichterwerbspersonen","2002","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","2002","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","926","0.0407427916055293","0.0374866042062873","0.0439989790047712"
"Beamte","2002","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","121","0.014996197781185","0.0117232231597706","0.0182691724025995"
"Beamte","2002","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","2002","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","2002","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","2002","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2003","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1711","0.135875197547934","0.13010784399143","0.141642551104438"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2003","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","605","0.114342645397175","0.105704916640102","0.122980374154249"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2003","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","716","0.288871662454337","0.271228128721854","0.30651519618682"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2003","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2003","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","147","0.172578904874708","0.145389275525526","0.19976853422389"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2003","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2003","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3930","0.276525609692061","0.268997299472842","0.28405391991128"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2003","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1525","0.258612970189449","0.246727668208981","0.270498272169918"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2003","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","463","0.15822776191231","0.144020913354226","0.172434610470394"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2003","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2003","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","195","0.278405149008881","0.246155018033337","0.310655279984424"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2003","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","2003","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1135","0.067836647053957","0.0636041521312577","0.0720691419766562"
"Selbstständige/ManagerInnen","2003","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","320","0.0519770067506391","0.0459517210329603","0.0580022924683178"
"Selbstständige/ManagerInnen","2003","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","110","0.0388970061458028","0.0313703485065065","0.046423663785099"
"Selbstständige/ManagerInnen","2003","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","2003","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","31","0.0266500426924249","0.0150614793214594","0.0382386060633904"
"Selbstständige/ManagerInnen","2003","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","2003","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","990","0.0572760141044388","0.0533649321317426","0.061187096077135"
"In Ausbildung","2003","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","503","0.0783296723855337","0.0710365494265738","0.0856227953444937"
"In Ausbildung","2003","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","156","0.0778314023221917","0.0674024255183267","0.0882603791260567"
"In Ausbildung","2003","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","2003","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","202","0.27326296510758","0.241198413365762","0.305327516849398"
"In Ausbildung","2003","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","2003","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3202","0.293469828986032","0.285805655411234","0.301134002560831"
"In Rente oder Pension","2003","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1355","0.323456276352113","0.31075877395123","0.336153778752997"
"In Rente oder Pension","2003","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","473","0.193094137967259","0.177728341043378","0.208459934891141"
"In Rente oder Pension","2003","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","63","0.625515236383176","0.533378848734084","0.717651624032269"
"In Rente oder Pension","2003","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","2003","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","2003","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","505","0.0454321152053227","0.0419269932414952","0.0489372371691502"
"Arbeitslose","2003","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","625","0.12485854938875","0.115886103511141","0.133830995266358"
"Arbeitslose","2003","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","211","0.0917963102958692","0.0805563868625094","0.103036233729229"
"Arbeitslose","2003","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","2003","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","52","0.0756225152417865","0.0565987544326428","0.0946462760509303"
"Arbeitslose","2003","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","2003","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1244","0.0827729342185038","0.0781352534347085","0.0874106150022992"
"Sonstige Nichterwerbspersonen","2003","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","160","0.0316080162901959","0.0268591844547693","0.0363568481256224"
"Sonstige Nichterwerbspersonen","2003","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","382","0.145637590557654","0.131906124182362","0.159369056932946"
"Sonstige Nichterwerbspersonen","2003","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","2003","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","89","0.114578361480156","0.0916605835039331","0.137496139456379"
"Sonstige Nichterwerbspersonen","2003","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","2003","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","843","0.0408116531917501","0.0374815147623598","0.0441417916211404"
"Beamte","2003","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","121","0.0168148632461433","0.013324851411554","0.0203048750807325"
"Beamte","2003","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","2003","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","2003","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","2003","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2004","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1696","0.138260827076594","0.132371293707461","0.144150360445726"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2004","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","637","0.121250173282041","0.112284607452705","0.130215739111377"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2004","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","675","0.276007284778314","0.258262995420995","0.293751574135634"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2004","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2004","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","136","0.137474498510925","0.113120822437629","0.161828174584222"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2004","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2004","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3729","0.267007884084774","0.259459480920176","0.274556287249372"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2004","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1448","0.246131755004207","0.234300373928569","0.257963136079844"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2004","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","431","0.158390644185133","0.143897878180513","0.172883410189753"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2004","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2004","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","190","0.262549638502386","0.231429638399284","0.293669638605488"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2004","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","2004","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1142","0.0715649307620511","0.0671667883301634","0.0759630731939387"
"Selbstständige/ManagerInnen","2004","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","327","0.0558148900741614","0.0495095646769808","0.0621202154713421"
"Selbstständige/ManagerInnen","2004","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","124","0.0504900404856635","0.0417987580719454","0.0591813228993815"
"Selbstständige/ManagerInnen","2004","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","2004","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","37","0.0375919193797306","0.0241396869748695","0.0510441517845917"
"Selbstständige/ManagerInnen","2004","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","2004","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1001","0.0601309403135945","0.0560746776700505","0.0641872029571386"
"In Ausbildung","2004","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","499","0.0814436008920397","0.0739310869576883","0.0889561148263912"
"In Ausbildung","2004","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","143","0.0727903927305224","0.0624780524988509","0.0831027329621938"
"In Ausbildung","2004","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","2004","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","237","0.336971854948595","0.303542324429523","0.370401385467668"
"In Ausbildung","2004","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","2004","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3173","0.297371574525991","0.289572268205965","0.305170880846016"
"In Rente oder Pension","2004","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1347","0.32632988395491","0.313451660452097","0.339208107457723"
"In Rente oder Pension","2004","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","453","0.19670853514574","0.180929537230978","0.212487533060503"
"In Rente oder Pension","2004","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","61","0.637589923578097","0.544757362233974","0.73042248492222"
"In Rente oder Pension","2004","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","2004","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","2004","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","521","0.048143180800997","0.0444906272091553","0.0517957343928387"
"Arbeitslose","2004","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","566","0.125397498758584","0.11630143097565","0.134493566541519"
"Arbeitslose","2004","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","229","0.103603853394721","0.0915070900283715","0.115700616761071"
"Arbeitslose","2004","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","2004","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","60","0.0925972257339378","0.0720966281874091","0.113097823280467"
"Arbeitslose","2004","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","2004","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1125","0.0777937112828699","0.0732235694461253","0.0823638531196145"
"Sonstige Nichterwerbspersonen","2004","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","154","0.0279896462160715","0.0234592306210409","0.0325200618111021"
"Sonstige Nichterwerbspersonen","2004","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","364","0.134810741812206","0.12125419590735","0.148367287717061"
"Sonstige Nichterwerbspersonen","2004","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","2004","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","81","0.0811134420682014","0.0618051061531932","0.10042177798321"
"Sonstige Nichterwerbspersonen","2004","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","2004","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","808","0.039726951153129","0.036394349679921","0.043059552626337"
"Beamte","2004","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","114","0.015642551817985","0.0122342808865029","0.0190508227494671"
"Beamte","2004","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","2004","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","2004","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","2004","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2005","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1625","0.144189327529007","0.138054958005337","0.150323697052677"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2005","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","552","0.113913309872186","0.105026770140307","0.122799849604065"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2005","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","609","0.275297523639496","0.256935125560343","0.29365992171865"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2005","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2005","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","138","0.153809933632439","0.128652826505883","0.178967040758994"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2005","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2005","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3582","0.271721644884427","0.26395335640158","0.279489933367275"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2005","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1400","0.247951600642185","0.235873081311666","0.260030119972704"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2005","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","424","0.1711319560093","0.155648902010802","0.186615010007799"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2005","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2005","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","197","0.257770483954142","0.227269050556758","0.288271917351526"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2005","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","2005","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1036","0.0678236640507877","0.0634327575715797","0.0722145705299957"
"Selbstständige/ManagerInnen","2005","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","320","0.0569215653752576","0.0504408989276246","0.0634022318228906"
"Selbstständige/ManagerInnen","2005","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","104","0.0402179964298317","0.0321410930067532","0.0482948998529102"
"Selbstständige/ManagerInnen","2005","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","2005","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","37","0.0391489768091432","0.0256244281175913","0.0526735255006952"
"Selbstständige/ManagerInnen","2005","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","2005","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","947","0.0636881100771015","0.059423748944786","0.0679524712094169"
"In Ausbildung","2005","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","466","0.0898234983217468","0.081825797810564","0.0978211988329296"
"In Ausbildung","2005","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","126","0.0623737272295977","0.0524319482132609","0.0723155062459345"
"In Ausbildung","2005","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","2005","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","232","0.313627140888692","0.281273629983574","0.345980651793809"
"In Ausbildung","2005","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","2005","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3140","0.288013572954704","0.2801057513922","0.295921394517209"
"In Rente oder Pension","2005","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1341","0.317467312139429","0.304447084413192","0.330487539865667"
"In Rente oder Pension","2005","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","439","0.198330222007902","0.181937896178529","0.214722547837276"
"In Rente oder Pension","2005","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","62","0.547811258336446","0.451223218066549","0.644399298606343"
"In Rente oder Pension","2005","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","2005","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","2005","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","478","0.0469893053300927","0.0432938928104309","0.0506847178497545"
"Arbeitslose","2005","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","558","0.130329180301311","0.120912330878718","0.139746029723903"
"Arbeitslose","2005","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","217","0.10919129874426","0.0963699234024631","0.122012674086057"
"Arbeitslose","2005","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","2005","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","71","0.096602875007202","0.0760027942327324","0.117202955781672"
"Arbeitslose","2005","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","2005","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1019","0.0746175273121784","0.0700287647369565","0.0792062898874002"
"Sonstige Nichterwerbspersonen","2005","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","157","0.0275517622017405","0.0229733458656498","0.0321301785378312"
"Sonstige Nichterwerbspersonen","2005","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","336","0.136726163451708","0.122602463705163","0.150849863198253"
